Complexity,Loss,Equation
1,0.00027419868,"0.9833948"
3,0.00017800486,"(0.96844 ^ x0)"
4,0.00017800483,"(exp(-0.032072052) ^ x0)"
5,9.821837e-5,"(0.9879107 ^ (x0 * x2))"
6,9.8218356e-5,"((exp(-0.0121583175) ^ x2) ^ x0)"
7,5.812602e-5,"(((x1 ^ x0) ^ 0.0024035615) ^ x2)"
8,2.9561621e-5,"(0.98550457 ^ ((x2 / exp(x1)) * x0))"
9,1.0874538e-5,"(((0.98404443 ^ x2) ^ (0.034623157 ^ x1)) ^ x0)"
10,9.319685e-6,"((0.98404443 ^ (x2 / exp(x1 * x2))) ^ x0)"
11,3.729355e-6,"(((0.96820885 + x2) ^ -0.036799856) ^ ((0.050039075 ^ x1) * x0))"
12,3.7290872e-6,"(((log(2.6276855) + x2) ^ -0.036799856) ^ ((0.050039075 ^ x1) * x0))"
13,1.915626e-6,"(((0.96820885 + x2) ^ -0.036799856) ^ ((0.09977148 ^ (x1 / x0)) * x0))"
15,9.98257e-7,"((((x2 ^ 1.0592184) + 0.9597589) ^ -0.036799856) ^ ((0.087966666 ^ (x1 / x0)) * x0))"
16,9.523318e-7,"((((x2 ^ exp(0.07556379)) + 0.94343704) ^ -0.036799856) ^ ((0.07556379 ^ (x1 / x0)) * x0))"
17,8.8591815e-7,"((((x2 ^ 1.0592184) + 0.9597589) ^ -0.036799856) ^ ((0.07556379 ^ (x1 / x0)) * (x0 ^ 0.9597589)))"
19,7.6741975e-7,"((((x2 ^ 1.0592184) + 0.9459102) ^ -0.036799856) ^ ((0.07556379 ^ (x1 / x0)) * (x0 ^ (0.9833948 ^ x2))))"
