Complexity,Loss,Equation
1,0.00027419862,"0.983393"
3,0.00017800482,"(0.9684394 ^ x0)"
5,9.821835e-5,"((0.9879126 ^ x0) ^ x2)"
7,5.810719e-5,"(((x1 ^ 0.0023890578) ^ x0) ^ x2)"
8,2.9591423e-5,"(0.9856348 ^ ((x0 * x2) / exp(x1)))"
9,1.086864e-5,"(((0.98403144 ^ x0) ^ (0.036542885 ^ x1)) ^ x2)"
10,9.289794e-6,"((0.9839137 ^ (x0 / exp(x2 * x1))) ^ x2)"
11,3.1103605e-6,"((x2 - -0.90143895) ^ ((-0.0387174 * (0.038619887 ^ x1)) * x0))"
12,3.1099262e-6,"((x2 - -0.90143895) ^ ((-0.0387174 * (log(1.0387455) ^ x1)) * x0))"
13,1.2097852e-6,"((x2 - -0.90143895) ^ ((-0.0387174 * (0.083228946 ^ (x1 / x0))) * x0))"
15,7.617664e-7,"(((x2 ^ 1.3355402) - -1.0600952) ^ ((-0.031009361 * x0) * (0.08696978 ^ (x1 / x0))))"
17,5.6130784e-7,"(((x2 ^ 1.31768) - -1.0457249) ^ ((-0.031009361 * (x0 ^ 0.937435)) * (0.083228946 ^ (x1 / x0))))"
18,5.548945e-7,"(((x2 ^ 1.3154472) - -1.0457249) ^ ((-0.031009361 * (x0 ^ exp(-0.062288046))) * (0.083228946 ^ (x1 / x0))))"
19,4.7325022e-7,"((((x2 + x1) ^ 1.31768) - -1.0289756) ^ ((-0.031009361 * (x0 ^ 0.937435)) * (0.070679754 ^ (x1 / x0))))"
21,4.616591e-7,"(((((x2 - -0.02636968) + x1) ^ 1.315413) - -1.0094312) ^ ((-0.031009361 * (x0 ^ 0.9428498)) * (0.070679754 ^ (x1 / x0))))"
22,4.2951973e-7,"((((x2 + x1) ^ 1.31768) - -1.0277239) ^ ((-0.031009361 * (x0 ^ (1.00869 ^ log(x1)))) * (0.075306155 ^ (x1 / x0))))"
24,4.2203138e-7,"((((x2 + x1) ^ 1.31768) - -1.0277239) ^ ((-0.031009361 * (x0 ^ (1.00869 ^ log(x1 * x0)))) * (0.075306155 ^ (x1 / x0))))"
25,4.048547e-7,"((((x2 + x1) ^ 1.31768) - -1.0277239) ^ ((-0.031009361 * (x0 ^ (1.0038236 ^ ((x1 ^ -0.20326257) / -0.2638399)))) * (0.075306155 ^ (x1 / x0))))"
26,4.0125045e-7,"((((x2 + x1) ^ 1.31768) - -1.0277239) ^ ((-0.031009361 * (x0 ^ (1.0038236 ^ ((x1 ^ -0.6463308) / log(x1))))) * (0.07631498 ^ (x1 / x0))))"
27,3.951537e-7,"((((x2 + x1) ^ 1.31768) - -1.0277239) ^ ((-0.031009361 * (x0 ^ (1.0038236 ^ (((x1 * x0) ^ -0.20326257) / -0.2638399)))) * (0.075306155 ^ (x1 / x0))))"
28,3.7719383e-7,"((((x2 + (x1 ^ 0.6836111)) ^ 1.3119324) - (-1.0277239 + x1)) ^ ((-0.031009361 * (x0 ^ (1.0038236 ^ (log(x1) * 2.5075788)))) * (0.075306155 ^ (x1 / x0))))"
29,3.624577e-7,"((((x2 + (x1 ^ 0.69644684)) ^ 1.31768) - (-1.0277239 + x1)) ^ ((-0.031009361 * (x0 ^ (1.0038236 ^ ((x1 ^ -0.20326257) / -0.2638399)))) * (0.075306155 ^ (x1 / x0))))"
30,3.430902e-7,"((((x2 + (x1 ^ 0.69644684)) ^ 1.3169926) - (-1.0277239 + x1)) ^ ((-0.031009361 * (x0 ^ (1.0038236 ^ ((x1 ^ -0.6463308) / log(x1))))) * (0.07631498 ^ (x1 / x0))))"
32,3.340743e-7,"((((x2 + (x1 ^ 0.69644684)) ^ 1.31768) - (-1.0277239 + x1)) ^ ((-0.031009361 * (x0 ^ (1.0038236 ^ (((x1 ^ -0.6463308) / 1.1356443) / log(x1))))) * (0.07631498 ^ (x1 / x0))))"
33,3.3347095e-7,"((((x2 + (x1 ^ 0.69644684)) ^ 1.31768) - (-1.0277239 + x1)) ^ ((-0.031009361 * (x0 ^ (1.0038236 ^ ((x1 ^ log(-0.6463308 + 1.1829212)) / log(x1))))) * (0.07631498 ^ (x1 / x0))))"
34,3.2839043e-7,"((((x2 + (x1 ^ 0.69644684)) ^ 1.31768) - (-1.0277239 + x1)) ^ ((-0.031009361 * (x0 ^ (1.0038236 ^ (((x1 / (0.5816393 ^ x0)) ^ -0.6463308) / log(x1))))) * (0.07631498 ^ (x1 / x0))))"
35,3.279585e-7,"((((x2 + (x1 ^ 0.6836111)) ^ 1.3119324) - (-1.0277239 + x1)) ^ ((-0.031009361 * (x0 ^ (1.0038236 ^ (log(x1) * ((x1 ^ -0.18786827) / exp(x0)))))) * ((0.075306155 ^ (x1 / x0)) + 0.0044545727)))"
36,3.036505e-7,"((((x2 + (x1 ^ 0.69644684)) ^ 1.31768) - (-1.0277239 + x1)) ^ ((-0.031009361 * (x0 ^ (1.0038236 ^ ((x1 ^ -0.6463308) / log(x1))))) * ((0.07631498 * ((0.33274746 ^ x1) + x1)) ^ (x1 / x0))))"
38,2.9704384e-7,"((((x2 + (x1 ^ 0.69644684)) ^ 1.31768) - (-1.0277239 + x1)) ^ ((-0.031009361 * (x0 ^ (1.0038236 ^ ((x1 ^ -0.6463308) / log(x1))))) * (((0.07631498 * ((0.33274746 ^ x1) + x1)) ^ (x1 / x0)) / 1.0036757)))"
40,2.8881257e-7,"((((x2 + (x1 ^ 0.69644684)) ^ 1.31768) - (-1.0277239 + x1)) ^ ((-0.031009361 * (x0 ^ (1.0038236 ^ ((x1 ^ -0.6463308) / log(x1))))) * (((0.07631498 * ((0.33274746 ^ (x1 * 1.1807064)) + x1)) ^ (x1 / x0)) / 1.0036757)))"
