Complexity,Loss,Equation
1,0.00027419865,"0.9833909"
3,0.00017800483,"(0.9684453 ^ x0)"
5,9.8218356e-5,"(0.98791146 ^ (x0 * x2))"
6,9.821835e-5,"((log(2.6856294) ^ x0) ^ x2)"
7,5.810736e-5,"(((x1 ^ 0.0023898748) ^ x2) ^ x0)"
8,2.9561246e-5,"((0.98553526 ^ x0) ^ (x2 / exp(x1)))"
9,1.0866548e-5,"(((0.9840528 ^ x2) ^ x0) ^ (0.037230037 ^ x1))"
10,9.292774e-6,"(0.9839622 ^ ((x0 / (exp(x2) ^ x1)) * x2))"
11,3.2442697e-6,"(((0.97740495 ^ x0) ^ (0.037230037 ^ x1)) ^ (x2 ^ 0.7258618))"
13,1.3009626e-6,"(((0.97713524 ^ (0.09050738 ^ (x1 / x0))) ^ (x2 ^ 0.7176766)) ^ x0)"
14,1.2785338e-6,"(((0.97713524 ^ x0) ^ (log(1.0909517) ^ (x1 / x0))) ^ (x2 ^ 0.7105338))"
15,1.0142235e-6,"(((0.97713524 ^ (x0 + 0.0215415)) ^ (0.08902394 ^ (x1 / x0))) ^ (x2 ^ 0.6905263))"
16,1.0108482e-6,"(((0.97713524 ^ (x0 + 0.0215415)) ^ (log(1.0909517) ^ (x1 / x0))) ^ (x2 ^ 0.6905263))"
17,9.651578e-7,"(((0.97713524 ^ (x0 ^ 0.94880396)) ^ ((0.07616151 ^ (x1 / x0)) - -0.01849334)) ^ (x2 ^ 0.6904585))"
19,9.622456e-7,"(((0.97713524 ^ (x0 ^ (0.9155252 ^ 0.68178844))) ^ ((0.07616151 ^ (x1 / x0)) - -0.01849334)) ^ (x2 ^ 0.6904585))"
20,9.620026e-7,"(((0.97713524 ^ (x0 ^ (0.9155252 ^ exp(-0.40392658)))) ^ ((0.07616151 ^ (x1 / x0)) - -0.01849334)) ^ (x2 ^ 0.6904585))"
