Complexity,Loss,Equation
1,0.00027419865,"0.98339295"
2,0.00027419862,"exp(-0.016746407)"
3,0.00017800483,"(0.9684404 ^ x0)"
5,9.821834e-5,"((0.9879149 ^ x0) ^ x2)"
7,5.810759e-5,"(((x1 ^ 0.002386254) ^ x0) ^ x2)"
8,2.9560983e-5,"((0.98553044 ^ (x0 / exp(x1))) ^ x2)"
9,1.086896e-5,"((0.98407626 ^ x0) ^ ((0.036042668 ^ x1) * x2))"
10,9.337479e-6,"((0.98407626 ^ (x2 / (exp(x1) ^ x2))) ^ x0)"
11,3.0899741e-6,"((0.97646016 ^ x0) ^ ((x2 ^ 0.6883026) * (0.03988173 ^ x1)))"
13,1.2096161e-6,"((0.97646016 ^ x0) ^ ((x2 ^ 0.6883026) * (0.08371617 ^ (x1 / x0))))"
15,1.0351447e-6,"((0.9767519 ^ (x0 + 0.016035186)) ^ ((x2 ^ 0.6883026) * (0.08371617 ^ (x1 / x0))))"
17,1.0208314e-6,"((0.9767519 ^ (x0 + 0.016035186)) ^ (((x2 ^ 0.6883026) - 0.01881505) * (0.08371617 ^ (x1 / x0))))"
19,9.617615e-7,"((0.98474026 ^ (x0 + 0.01881505)) ^ ((((x2 ^ 0.67707664) - 0.04155615) * (0.08371617 ^ (x1 / x0))) / 0.6366578))"
