Complexity,Loss,Equation
1,0.00027419862,"0.98339474"
3,0.00017800483,"(0.9684368 ^ x0)"
4,0.00017800482,"(exp(-0.03206734) ^ x0)"
5,9.821835e-5,"((0.98791337 ^ x0) ^ x2)"
7,5.8107198e-5,"((x1 ^ 0.0023879278) ^ (x0 * x2))"
8,2.9560935e-5,"((0.98551655 ^ (x2 / exp(x1))) ^ x0)"
9,1.0866262e-5,"(((0.9840727 ^ x2) ^ (0.037805643 ^ x1)) ^ x0)"
10,9.2970595e-6,"((0.98386234 ^ x2) ^ (x0 / exp(x2 * x1)))"
11,6.4202995e-6,"(((0.9872092 ^ x0) ^ (0.04139951 ^ x1)) ^ (0.78438056 + x2))"
12,6.2133176e-6,"(0.9862101 ^ (((x2 + 0.5534721) / exp(3.3229675 * x1)) * x0))"
13,3.0970245e-6,"(((0.98551655 ^ (0.039066203 ^ x1)) ^ x0) ^ ((x2 + x2) ^ 0.6962562))"
15,1.2062067e-6,"(((0.98551655 ^ x0) ^ (0.08826031 ^ (x1 / x0))) ^ ((x2 + x2) ^ 0.6962562))"
17,1.0152049e-6,"(((0.98551655 ^ (x0 ^ 0.95054114)) ^ (0.08826031 ^ (x1 / x0))) ^ ((x2 + x2) ^ 0.6911183))"
18,8.640212e-7,"(((0.9833922 ^ (0.08377528 ^ (x1 / x0))) ^ log(((0.7655495 * x2) + 0.96619743) ^ 2.6321054)) ^ x0)"
20,6.654602e-7,"(((0.9833922 ^ (0.08377528 ^ (x1 / x0))) ^ log(((0.7555243 * x2) + 0.96619743) ^ 2.6321054)) ^ (x0 ^ 0.95950514))"
