Complexity,Loss,Equation
1,0.00025195806,"0.983597"
3,0.00017398561,"(0.9688376 ^ x0)"
5,9.855213e-5,"((0.9880562 ^ x2) ^ x0)"
7,5.504082e-5,"(((x1 ^ 0.0023808375) ^ x2) ^ x0)"
8,3.1758613e-5,"((0.98564124 ^ x2) ^ (x0 / exp(x1)))"
9,1.24244e-5,"(((0.984157 ^ x0) ^ (0.031223943 ^ x1)) ^ x2)"
10,1.0894952e-5,"((0.98402 ^ x2) ^ (x0 / (exp(x2) ^ x1)))"
11,5.6864237e-6,"((((x2 + 0.9426796) ^ x0) ^ -0.037310615) ^ (0.03761467 ^ x1))"
12,5.601511e-6,"((((x2 + 0.9426796) ^ x0) ^ log(0.96317726)) ^ (0.035221964 ^ x1))"
13,3.921683e-6,"((((x2 + 0.9426796) ^ x0) ^ -0.037310615) ^ (0.09016674 ^ (x1 / x0)))"
14,3.8175053e-6,"((((x2 + 0.9426796) ^ x0) ^ log(0.96317726)) ^ (0.09016674 ^ (x1 / x0)))"
15,3.0973968e-6,"((((x2 ^ 1.3234103) + 1.0506593) ^ (-0.031229658 * (0.08390578 ^ (x1 / x0)))) ^ x0)"
17,2.6539876e-6,"((((x2 ^ (x4 ^ -0.14183284)) + 1.0434186) ^ (-0.031229658 * (0.08268683 ^ (x1 / x0)))) ^ x0)"
18,1.7002799e-6,"((((x2 ^ log(x4 ^ -0.62729937)) + 1.0262313) ^ (-0.031229658 * (0.088284135 ^ (x1 / x0)))) ^ x0)"
19,1.4388047e-6,"(((((x2 ^ (x4 ^ -0.6370764)) ^ 0.34476486) + 1.0328158) ^ (-0.031229658 * (0.088284135 ^ (x1 / x0)))) ^ x0)"
20,1.3507905e-6,"((((x2 ^ log((x4 ^ -0.69583726) - x5)) + 1.0262313) ^ (-0.031229658 * (0.09148641 ^ (x1 / x0)))) ^ x0)"
21,1.079091e-6,"((((x2 ^ log((x4 ^ -0.8196921) - exp(x5))) + 1.0633137) ^ (-0.031229658 * (0.088284135 ^ (x1 / x0)))) ^ x0)"
23,8.7287685e-7,"((((x2 ^ log((x4 ^ -0.8188588) - exp(x5))) + 1.0262313) ^ (-0.031229658 * (0.08390578 ^ (x1 / x0)))) ^ (x0 + 0.014798453))"
25,8.48045e-7,"((((x2 ^ (log((x4 ^ -0.8188588) - exp(x5)) ^ 0.92209893)) + 1.0262313) ^ (-0.031229658 * (0.08390578 ^ (x1 / x0)))) ^ (x0 + x3))"
26,8.369801e-7,"((((x2 ^ log((x4 ^ -0.8188588) - exp(x5))) + exp(x1)) ^ (-0.031229658 * ((0.09016674 / 1.1997743) ^ (x1 / x0)))) ^ (x0 + 0.014798453))"
27,8.0504844e-7,"((((x2 ^ (log((x4 ^ -0.8188588) - exp(x5)) ^ 0.92209893)) + 1.0262313) ^ (-0.031229658 * (0.08390578 ^ (x1 / x0)))) ^ (x0 + (0.014798453 / x5)))"
28,8.047217e-7,"((((x2 ^ log((x4 ^ -0.8188588) - exp(x5))) + exp(x1)) ^ (-0.031229658 * ((0.09016674 / 1.2641454) ^ (x1 / x0)))) ^ (x0 - (-0.012291701 / x5)))"
29,7.896655e-7,"((((x2 ^ (log((x4 ^ -0.8188588) - exp(x5)) ^ 0.92209893)) + 1.0262313) ^ (-0.031229658 * ((x4 / 1.391343) ^ (x1 / x0)))) ^ (x0 + (0.014798453 / x5)))"
