Complexity,Loss,Equation
1,0.00025061728,"0.983617"
2,0.00025061725,"exp(-0.01652185)"
3,0.00017382494,"(0.96891207 ^ x0)"
4,0.00017382493,"(exp(-0.031580184) ^ x0)"
5,9.838398e-5,"((0.98808837 ^ x2) ^ x0)"
7,5.415416e-5,"((x1 ^ (0.002381954 * x2)) ^ x0)"
8,3.2421583e-5,"((0.9856057 ^ x0) ^ (x2 / exp(x1)))"
9,1.2269137e-5,"((0.98406345 ^ x2) ^ ((0.026260842 ^ x1) * x0))"
10,1.0776686e-5,"((0.984002 ^ (x2 / (exp(x2) ^ x1))) ^ x0)"
11,8.2351e-6,"(((0.9859781 ^ (0.026710851 ^ x1)) ^ x0) ^ (x2 + 0.4874614))"
13,5.255729e-6,"(((0.98364747 ^ x0) ^ (x2 ^ x5)) ^ ((0.026260842 ^ x1) / x5))"
15,3.765082e-6,"(((0.983617 ^ x0) ^ (x2 ^ x5)) ^ ((0.057488486 ^ (x1 / x0)) / x5))"
17,3.3787296e-6,"(((0.98364747 ^ x0) ^ (x2 ^ x5)) ^ (((0.026260842 ^ (x5 / x0)) ^ x1) / x5))"
19,3.3230522e-6,"((0.98364747 ^ (x2 ^ x5)) ^ ((((0.026260842 ^ (x5 / x0)) ^ x1) * (x0 ^ 0.9830091)) / x5))"
21,3.124965e-6,"((0.98364747 ^ (x2 ^ x5)) ^ ((((0.026260842 ^ (x5 / x0)) ^ x1) * (x0 ^ (0.8386933 + x4))) / x5))"
22,2.3974558e-6,"((exp(-0.018632354 * (0.071348935 ^ (x1 / x0))) ^ 1.1369069) ^ ((x2 ^ 0.7443322) * (x0 + ((0.018818129 / x4) - x4))))"
24,2.2853346e-6,"((exp(-0.018521734 * ((0.06126515 / x5) ^ (x1 / x0))) ^ 1.1369069) ^ ((x2 ^ 0.7443322) * (x0 + ((0.018818129 / x4) - x4))))"
