Complexity,Loss,Equation
1,0.00027419868,"0.98339117"
3,0.00017800512,"(0.968469 ^ x0)"
4,0.00017800495,"(exp(x0) ^ -0.032048415)"
5,9.82187e-5,"((0.98790306 ^ x2) ^ x0)"
7,5.8117235e-5,"((x1 ^ 0.002399492) ^ (x0 * x2))"
8,2.998853e-5,"((0.98510146 ^ x2) ^ (x0 / exp(x1)))"
9,1.0955584e-5,"((0.9842717 ^ ((0.04484939 ^ x1) * x2)) ^ x0)"
10,9.5370915e-6,"((0.9842717 ^ (x0 / (exp(x2) ^ x1))) ^ x2)"
11,6.3518232e-6,"((0.9862142 ^ (x0 * (0.04955043 ^ x1))) ^ (x2 - -0.52596515))"
13,4.3357522e-6,"((0.9862142 ^ (x0 * (0.0909735 ^ (x1 / x0)))) ^ (x2 - -0.5456285))"
15,2.7482185e-6,"(((0.0053043985 ^ 0.0053043985) ^ (x0 * (0.07652708 ^ (x1 / x0)))) ^ (x2 ^ 0.59275174))"
17,1.006743e-6,"(((((0.0053043985 * x2) / 0.39579618) ^ 0.0053043985) ^ (x0 * (0.07652708 ^ (x1 / x0)))) ^ x2)"
18,9.490806e-7,"(((((0.0053043985 * x2) / 0.39579618) ^ 0.0053043985) ^ (x0 * (log(1.091705) ^ (x1 / x0)))) ^ x2)"
19,8.356522e-7,"(((((0.0053043985 * x2) / 0.39579618) ^ 0.0053043985) ^ ((x0 ^ 0.9747284) * (0.07652708 ^ (x1 / x0)))) ^ x2)"
21,8.043574e-7,"(((((0.0053043985 * x2) / 0.39579618) ^ 0.0053043985) ^ ((x0 ^ 0.9747284) * ((0.07652708 * 1.1162997) ^ (x1 / x0)))) ^ x2)"
23,6.5983784e-7,"(((((0.0053043985 * (x2 + (x2 + x0))) / 0.4304389) ^ 0.0053043985) ^ ((x0 * (0.07652708 ^ (x1 / x0))) / 0.7598994)) ^ x2)"
25,6.193231e-7,"(((((0.0053043985 * (x2 + (x2 + x0))) / 0.4304389) ^ 0.0053043985) ^ ((x0 * ((0.07652708 ^ (x1 / x0)) ^ 0.9470955)) / 0.7598994)) ^ x2)"
27,5.8359916e-7,"(((((0.0053043985 * (x2 + (x2 + x0))) / 0.4304389) ^ 0.0053043985) ^ ((((x0 * (0.07652708 ^ (x1 / x0))) / 0.7598994) - -0.056405865) - 0.04893621)) ^ x2)"
29,5.7270773e-7,"(((((0.0053043985 * (x2 + (x2 + (x0 + 0.060480133)))) / 0.4304389) ^ 0.0053043985) ^ ((((x0 * (0.07652708 ^ (x1 / x0))) / 0.7598994) - -0.056405865) - 0.04893621)) ^ x2)"
31,5.598586e-7,"(((((0.0053043985 * (x2 + (x2 + (x0 * (0.07652708 ^ x1))))) / 0.4304389) ^ 0.0053043985) ^ ((((x0 * (0.07652708 ^ (x1 / x0))) / 0.7598994) - -0.056405865) - 0.04893621)) ^ x2)"
33,5.268756e-7,"(((((0.0053043985 * ((x2 - -0.096103854) + (x2 + (x0 * (0.0053043985 ^ x1))))) / 0.4304389) ^ 0.0053043985) ^ ((((x0 * (0.07652708 ^ (x1 / x0))) / 0.7598994) - -0.056405865) - 0.04893621)) ^ x2)"
35,5.1837407e-7,"(((((0.0053043985 * (x2 + (x2 + ((x0 * exp(0.002356449 ^ x1)) / exp(0.7598994))))) / 0.4304389) ^ 0.0053043985) ^ ((((x0 * (0.07652708 ^ (x1 / x0))) / 0.7598994) - -0.056405865) - 0.04893621)) ^ x2)"
37,4.965456e-7,"(((((0.0053043985 * (x2 + (x2 + ((x0 * exp(0.0053043985 ^ (x1 / 0.2547923))) / exp(0.7598994))))) / 0.4304389) ^ 0.0053043985) ^ ((((x0 * (0.07652708 ^ (x1 / x0))) / 0.7598994) - -0.056405865) - 0.04893621)) ^ x2)"
39,4.961293e-7,"(((((0.0053043985 * (x2 + (x2 + ((x0 * exp((0.0053043985 * 1.2849382) ^ (x1 / 0.2547923))) / exp(0.7598994))))) / 0.4304389) ^ 0.0053043985) ^ ((((x0 * (0.07652708 ^ (x1 / x0))) / 0.7598994) - -0.056405865) - 0.04893621)) ^ x2)"
