Complexity,Loss,Equation
1,0.00027419862,"0.98339564"
3,0.00017800485,"(0.9684488 ^ x0)"
5,9.8218334e-5,"((0.98791444 ^ x2) ^ x0)"
7,5.8107198e-5,"(((x1 ^ x0) ^ 0.0023879274) ^ x2)"
8,2.9561845e-5,"((0.9855426 ^ x0) ^ (x2 / exp(x1)))"
9,1.0877061e-5,"(0.984146 ^ (x0 * (x2 * (0.03811486 ^ x1))))"
10,9.295627e-6,"((0.9838684 ^ x2) ^ (x0 / (exp(x2) ^ x1)))"
11,6.169109e-6,"(((0.98662186 ^ x0) ^ (x2 + 0.6372852)) ^ (0.040877078 ^ x1))"
13,3.139757e-6,"(((0.98662186 ^ (x2 ^ 0.6689241)) ^ (0.03407855 ^ x1)) ^ (x0 * 1.8211981))"
14,3.092975e-6,"(((0.98662186 ^ x0) ^ (0.040877078 ^ x1)) ^ (exp(0.58296233) * (x2 ^ 0.68022346)))"
15,1.221035e-6,"(((0.98662186 ^ (x2 ^ 0.68022346)) ^ (0.07746272 ^ (x1 / x0))) ^ (1.7954243 * x0))"
16,1.1993191e-6,"(((0.98662186 ^ (x2 ^ 0.68022346)) ^ (0.087865934 ^ (x1 / x0))) ^ (exp(0.587725) * x0))"
17,1.0136171e-6,"(((0.98662186 ^ (x2 ^ 0.68022346)) ^ (0.087865934 ^ (x1 / x0))) ^ ((x0 * 1.8211981) ^ 0.94923335))"
19,1.0121917e-6,"(((0.98662186 ^ (x2 ^ 0.68022346)) ^ ((0.98339564 * 0.087865934) ^ (x1 / x0))) ^ ((x0 * 1.8211981) ^ 0.94923335))"
