Complexity,Loss,Equation
1,0.00027419865,"0.9833909"
2,0.00027419862,"log(2.6735191)"
3,0.00017800488,"(0.9684389 ^ x0)"
4,0.00017800482,"(exp(x0) ^ -0.032064613)"
5,9.821838e-5,"(0.98791075 ^ (x2 * x0))"
7,5.8107526e-5,"(((x1 ^ 0.0023862596) ^ x2) ^ x0)"
8,2.95618e-5,"((0.98550266 ^ x0) ^ (x2 / exp(x1)))"
9,1.0867575e-5,"((0.98404163 ^ (0.03660205 ^ x1)) ^ (x2 * x0))"
10,9.318316e-6,"(0.98404163 ^ (x2 / ((exp(x1) ^ x2) / x0)))"
11,6.197591e-6,"(((0.98677933 ^ (0.04069598 ^ x1)) ^ (x2 + 0.6775116)) ^ x0)"
12,3.0050091e-6,"((1.1035942 / (x2 + 1.0279847)) ^ ((0.04069598 * x0) ^ exp(x1)))"
13,2.1141284e-6,"((1.1112266 / (x2 + 1.0279847)) ^ ((0.04069598 * x0) ^ (0.9972154 + x1)))"
14,1.9950073e-6,"((1.1112266 / (x2 + exp(x1))) ^ ((0.04069598 * x0) ^ (0.9972154 + x1)))"
16,1.2915236e-6,"((1.1112266 / (x2 + 1.0279847)) ^ ((0.04069598 * x0) ^ exp(x1 / (0.40375903 + x0))))"
18,1.1516446e-6,"(((1.1479596 ^ x0) / (x2 + 1.027042)) ^ ((0.04069598 * x0) ^ exp(x1 / (x0 / 0.6169099))))"
19,1.0258069e-6,"((1.1112266 / (x2 + 1.0172062)) ^ ((0.04069598 * x0) ^ ((x0 ^ 0.002386158) + (x1 / (0.32275373 + x0)))))"
20,1.0181092e-6,"((1.1112266 / (x2 + 1.0413647)) ^ ((0.04069598 * x0) ^ ((x0 ^ 0.0042484365) + (x1 / (x0 + exp(-1.4467182))))))"
