Complexity,Loss,Equation
1,0.00027419862,"0.98339564"
3,0.00017800483,"(0.96843493 ^ x0)"
5,9.821844e-5,"((0.9879078 ^ x0) ^ x2)"
6,9.8218385e-5,"exp(-0.012163541 * (x0 * x2))"
7,5.810722e-5,"(((x1 ^ 0.0023873404) ^ x0) ^ x2)"
8,2.9563946e-5,"((0.98548645 ^ (x0 / exp(x1))) ^ x2)"
9,1.0944142e-5,"(((0.9842135 ^ x0) ^ x2) ^ (0.03395649 ^ x1))"
10,9.3804265e-6,"(0.98371136 ^ ((x0 / (exp(x1) ^ x2)) * x2))"
11,7.2670987e-6,"((0.9878681 ^ ((0.03395649 ^ x1) * (x2 - -0.9615792))) ^ x0)"
12,6.078042e-6,"(exp((-0.018767381 / ((1.0456754 + x1) ^ x2)) * x0) ^ x2)"
13,4.171701e-6,"((exp(-0.020854305 / exp(x1 / 0.3325155)) ^ (x2 ^ 0.77987194)) ^ x0)"
14,4.148915e-6,"((exp(-0.020854305 / exp(x1 / exp(-1.1470848))) ^ (x2 ^ 0.79061145)) ^ x0)"
15,2.2804852e-6,"((exp(-0.020854305 / exp((x1 / x0) / 0.40738758)) ^ (x2 ^ 0.79061145)) ^ x0)"
16,2.279204e-6,"((exp(-0.020854305 / exp((x1 / x0) / exp(-0.89602095))) ^ (x2 ^ 0.79061145)) ^ x0)"
17,1.7570375e-6,"((exp(-0.020854305 / exp((x1 / x0) / 0.4044346)) ^ ((x2 ^ 0.77987194) + 0.06515365)) ^ x0)"
19,1.0517258e-6,"((exp(-0.020854305 / exp((x1 / x0) / 0.43340576)) ^ (x2 ^ (0.79061145 ^ (x2 * 0.25024796)))) ^ x0)"
20,1.0367967e-6,"((exp(-0.020854305 / exp((x1 / x0) / exp(-0.88055634))) ^ (x2 ^ (0.77987194 ^ (x2 * 0.24054387)))) ^ x0)"
21,8.1518994e-7,"((exp(-0.020854305 / exp((x1 / x0) / 0.4044346)) ^ ((x2 ^ (0.77987194 ^ (x2 * 0.25024796))) + 0.06515365)) ^ x0)"
23,7.6305105e-7,"((exp(-0.020854305 / exp((x1 / x0) / 0.43340576)) ^ ((x2 ^ (0.77987194 ^ ((x2 * 0.25024796) + x1))) + 0.05124864)) ^ x0)"
24,6.8869423e-7,"((exp(-0.020854305 / exp((x1 / x0) / exp(-0.90253437))) ^ ((x2 ^ ((0.77987194 ^ 0.25024796) ^ x2)) + (0.05124864 / x0))) ^ x0)"
25,6.494144e-7,"((exp(-0.020854305 / exp((x1 / x0) / 0.43340576)) ^ ((x2 ^ (0.77987194 ^ ((x2 * 0.25024796) + x1))) + (0.05124864 / x0))) ^ x0)"
