Complexity,Loss,Equation
1,0.00027419877,"0.9833838"
3,0.00017800539,"(0.9684792 ^ x0)"
4,0.00017800489,"(exp(-0.03205474) ^ x0)"
5,9.82184e-5,"((0.9879166 ^ x2) ^ x0)"
7,5.8257585e-5,"(((x1 ^ x0) ^ 0.0024312742) ^ x2)"
8,2.9561561e-5,"(0.9855052 ^ (x2 * (x0 / exp(x1))))"
9,1.1611421e-5,"(((0.98466355 ^ x0) ^ (0.060710806 ^ x1)) ^ x2)"
10,1.0869125e-5,"((exp(x2) ^ (x0 * (0.03769356 ^ x1))) ^ -0.016018955)"
11,3.1226396e-6,"(((x2 + 0.920471) ^ (-0.03812831 * (0.04218352 ^ x1))) ^ x0)"
13,1.267647e-6,"(((0.9382822 + x2) ^ (0.08437045 ^ (x1 / x0))) ^ (-0.03812831 * x0))"
14,1.2586943e-6,"(((exp(-0.08100602) + x2) ^ (0.08437045 ^ (x1 / x0))) ^ (-0.03812831 * x0))"
16,1.23039e-6,"(((exp(-0.08100602) + x2) ^ ((0.08437045 ^ (x1 / x0)) / 0.98466355)) ^ (-0.03812831 * x0))"
17,1.0552156e-6,"((((((x2 / 0.36085474) * x2) - -1.2293923) ^ (0.09040117 ^ (x1 / x0))) ^ x0) ^ -0.016018955)"
19,8.00173e-7,"((((1.1785992 + ((x2 / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / x0))) ^ (x0 ^ 0.9552937)) ^ -0.016018955)"
21,7.6832185e-7,"((((1.1785992 + (((x2 + x1) / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / x0))) ^ (x0 ^ 0.9552937)) ^ -0.016018955)"
23,6.9731334e-7,"((((1.1785992 + (((x2 + (x1 ^ x2)) / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / x0))) ^ (x0 ^ 0.9552937)) ^ -0.016018955)"
24,6.2866263e-7,"((((exp(x1) + (((x2 + (0.13894884 ^ x2)) / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / x0))) ^ (x0 ^ 0.9552937)) ^ -0.016018955)"
25,6.2698257e-7,"(((((x0 ^ x1) + (((x2 + (0.13894884 ^ x2)) / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / x0))) ^ (x0 ^ 0.9552937)) ^ -0.016018955)"
26,5.8253767e-7,"(((((exp((x1 - x2) - -1.3038679) ^ x2) + ((x2 / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / x0))) ^ (x0 ^ 0.9552937)) ^ -0.016018955)"
28,5.448987e-7,"(((((exp((x1 - x2) - -1.3038679) ^ x2) + ((x2 / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / x0))) ^ (x0 ^ (0.9552937 ^ 1.2719313))) ^ -0.016018955)"
29,5.4175865e-7,"(((((exp((x1 - x2) - -1.3038679) ^ x2) + ((x2 / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / x0))) ^ (x0 ^ (0.93427247 ^ exp(x1)))) ^ -0.016018955)"
30,5.2023967e-7,"(((((exp(((x1 - x2) - -1.2286521) + x1) ^ x2) + ((x2 / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / x0))) ^ (x0 ^ (0.9552937 ^ 1.2719313))) ^ -0.016018955)"
32,4.3332994e-7,"(((((exp((x1 - (x2 ^ 0.73713285)) - -1.3038679) ^ x2) + ((x2 / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / x0))) ^ (x0 ^ ((x1 ^ x2) ^ 0.0024312742))) ^ -0.016018955)"
34,3.9808904e-7,"(((((exp(((x1 - (x2 ^ 0.73713285)) - -1.3038679) + x1) ^ x2) + ((x2 / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / x0))) ^ (x0 ^ ((x1 ^ x2) ^ 0.0024312742))) ^ -0.016018955)"
36,3.74613e-7,"(((((exp(((x1 - (x2 ^ 0.7036353)) - -1.3038679) + x1) ^ x2) + ((x2 / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / x0))) ^ (x0 ^ (((x1 ^ x2) ^ 0.0024312742) ^ 1.2234416))) ^ -0.016018955)"
38,3.7431977e-7,"(((((exp(((x1 - (x2 ^ 0.7036353)) - -1.3038679) + x1) ^ x2) + ((x2 / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / x0))) ^ (x0 ^ ((((x1 ^ x2) * x2) ^ 0.0024312742) ^ 1.2234416))) ^ -0.016018955)"
40,3.7353237e-7,"(((((exp(((x1 - (x2 ^ 0.7036353)) - -1.3038679) + x1) ^ x2) + ((x2 / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / (x0 ^ 1.0408599)))) ^ (x0 ^ ((((x1 ^ x2) * x2) ^ 0.0024312742) ^ 1.2234416))) ^ -0.016018955)"
42,3.6993336e-7,"(((((exp(((x1 - (x2 ^ 0.7036353)) - -1.3038679) + x1) ^ x2) + ((x2 / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / (x0 ^ 1.0408599)))) ^ (x0 ^ ((((x1 ^ x2) * (x2 * 0.063952215)) ^ 0.0024312742) ^ 1.2234416))) ^ -0.016018955)"
44,3.6812582e-7,"(((((exp(((x1 - (x2 ^ (0.7036353 - 0.050761074))) - -1.3038679) + x1) ^ x2) + ((x2 / 0.36085474) * x2)) ^ (0.09040117 ^ (x1 / (x0 ^ 1.0408599)))) ^ (x0 ^ ((((x1 ^ x2) * (x2 * 0.063952215)) ^ 0.0024312742) ^ 1.2234416))) ^ -0.016018955)"
