Complexity,Loss,Equation
1,0.00027419862,"0.98339474"
3,0.00017800482,"(0.96843535 ^ x0)"
5,9.821837e-5,"((0.9879136 ^ x2) ^ x0)"
6,9.821835e-5,"((log(2.6856244) ^ x0) ^ x2)"
7,5.8107235e-5,"(((x1 ^ x2) ^ 0.0023886627) ^ x0)"
8,2.9560864e-5,"((0.9855212 ^ (x2 / exp(x1))) ^ x0)"
9,1.0866249e-5,"(((0.9840619 ^ x2) ^ x0) ^ (0.03754053 ^ x1))"
10,9.2906985e-6,"((0.9838999 ^ x2) ^ (x0 / (exp(x1) ^ x2)))"
11,3.0877984e-6,"((0.97621614 ^ (0.038105734 ^ x1)) ^ (x0 * (x2 ^ 0.6818824)))"
13,1.1895501e-6,"(((0.97621614 ^ (x2 ^ 0.6852511)) ^ (0.08459965 ^ (x1 / x0))) ^ x0)"
15,1.0213356e-6,"(((0.97621614 ^ (x2 ^ 0.6739044)) ^ (0.08414772 ^ (x1 / x0))) ^ (x0 ^ 0.94758266))"
17,9.794163e-7,"(((0.97621614 ^ ((x2 ^ 0.6758707) + -0.02185469)) ^ (0.08459965 ^ (x1 / x0))) ^ (x0 ^ 0.94327146))"
18,9.748823e-7,"(((0.97621614 ^ (x2 ^ 0.6758707)) ^ (0.08414772 ^ (x1 / x0))) ^ (x0 ^ (1.0077801 ^ log(x1))))"
19,9.676643e-7,"((((0.97621614 * 0.9999017) ^ ((x2 ^ 0.6758707) + -0.02185469)) ^ (0.08459965 ^ (x1 / x0))) ^ (x0 ^ 0.94327146))"
20,8.7822417e-7,"(((0.97621614 ^ ((x2 ^ 0.6739044) + (-0.09032497 / exp(x2)))) ^ (0.08459965 ^ (x1 / x0))) ^ (x0 ^ 0.94327146))"
