Complexity,Loss,Equation
1,0.00027419862,"0.9833894"
3,0.00017800488,"(0.968451 ^ x0)"
5,9.821837e-5,"((0.98791474 ^ x2) ^ x0)"
7,5.7709847e-5,"((1.0135537 ^ (x1 - x2)) ^ x0)"
8,1.9918447e-5,"((0.9850508 ^ (x0 / exp(x1))) ^ x2)"
9,1.1457556e-5,"(((0.9846451 ^ x0) ^ x2) ^ (0.12898842 ^ x1))"
10,1.1042701e-5,"(exp(x2) ^ ((-0.015742965 * (0.12177064 ^ x1)) * x0))"
11,8.451126e-6,"((0.9846451 ^ (x0 * (x2 - -0.23402928))) ^ (0.12898842 ^ x1))"
12,6.194237e-6,"((x2 + exp(x2)) ^ ((-0.015742965 * (0.11166759 ^ x1)) * x0))"
14,4.6103182e-6,"((x2 + exp(x2)) ^ ((-0.015742965 * (0.22472599 ^ (x1 / x0))) * x0))"
16,4.165337e-6,"((x2 + (x2 + exp(x2))) ^ ((-0.015742965 * (0.22472599 ^ (x1 / x0))) * x0))"
18,2.6531327e-6,"((x2 + (x2 + exp(x2 ^ x4))) ^ ((-0.015742965 * (0.22472599 ^ (x1 / x0))) * x0))"
