Complexity,Loss,Equation
1,0.00027419862,"0.983393"
3,0.00017800482,"(0.96844244 ^ x0)"
5,9.8218356e-5,"(0.98791295 ^ (x2 * x0))"
6,9.821835e-5,"(exp(x0) ^ (-0.012159164 * x2))"
7,5.8107184e-5,"(((x1 ^ 0.002387935) ^ x0) ^ x2)"
8,2.9561914e-5,"((0.98550147 ^ (x2 / exp(x1))) ^ x0)"
9,1.0870961e-5,"(0.98409677 ^ ((x2 * (0.03960497 ^ x1)) * x0))"
10,9.309647e-6,"((0.98382354 ^ (x2 / exp(x2 * x1))) ^ x0)"
11,6.195438e-6,"(0.9862847 ^ ((0.03960497 ^ x1) * ((x2 + 0.56239784) * x0)))"
13,3.0864117e-6,"(0.9862847 ^ ((((0.03960497 ^ x1) * 1.7308385) * x0) * (x2 ^ 0.68696564)))"
15,1.1908371e-6,"(0.9862847 ^ ((((0.08634723 ^ (x1 / x0)) * 1.7308385) * x0) * (x2 ^ 0.6899471)))"
17,1.087523e-6,"(0.9862847 ^ ((((0.08634723 ^ (x1 / x0)) * 1.7308385) * (x0 ^ 0.9635584)) * (x2 ^ 0.6899471)))"
18,1.0477207e-6,"(0.9862847 ^ ((((0.08634723 ^ (x1 / x0)) * 1.7308385) * (x0 ^ 0.9635584)) * (x2 ^ exp(-0.37649417))))"
19,1.0379557e-6,"((0.9862847 ^ ((((0.08634723 ^ (x1 / x0)) * 1.7308385) * (x0 ^ 0.9635584)) * (x2 ^ 0.6899471))) ^ 0.9862847)"
20,1.0358835e-6,"(0.9862847 ^ (((((0.08634723 ^ (x1 / x0)) * 1.7308385) ^ 0.9862847) * (x0 ^ 0.9635584)) * (x2 ^ exp(-0.37649417))))"
