Complexity,Loss,Equation
1,0.0002741987,"0.983388"
2,0.00027419868,"exp(-0.016749186)"
3,0.00017800488,"(0.96844745 ^ x0)"
5,9.821848e-5,"((0.9879068 ^ x0) ^ x2)"
7,5.828015e-5,"(((x1 ^ x2) ^ 0.0024343764) ^ x0)"
8,3.2025342e-5,"((0.9865313 ^ x0) ^ (x2 / exp(x1)))"
9,1.09640205e-5,"(0.98384 ^ (((0.03607037 ^ x1) * x2) * x0))"
10,9.291507e-6,"(0.9838924 ^ ((x0 / (exp(x2) ^ x1)) * x2))"
11,3.4722552e-6,"((((x2 - -0.8660543) ^ (0.03607037 ^ x1)) ^ x0) ^ -0.039727867)"
13,1.5297038e-6,"((((x2 - -0.8766846) ^ (0.083150856 ^ (x1 / x0))) ^ x0) ^ -0.039727867)"
14,1.519009e-6,"((((x2 - -0.8766846) ^ (exp(-2.511618) ^ (x1 / x0))) ^ x0) ^ -0.039727867)"
15,1.2326749e-6,"(((((x2 / 1.0436771) - -0.8766846) ^ (0.083150856 ^ (x1 / x0))) ^ x0) ^ -0.039727867)"
17,1.1675984e-6,"(((((x2 / (1.0436771 ^ x0)) - -0.8766846) ^ (0.083150856 ^ (x1 / x0))) ^ x0) ^ -0.039727867)"
18,1.1211896e-6,"((((((x2 * 0.96775055) - -0.8766846) ^ (exp(-2.511618) ^ (x1 / x0))) ^ x0) - -0.016664516) ^ -0.039727867)"
20,1.0476983e-6,"((((((x2 * (0.96775055 ^ 1.7611809)) - -0.8766846) ^ (exp(-2.511618) ^ (x1 / x0))) - -0.039727867) ^ x0) ^ -0.039727867)"
22,9.595025e-7,"((((((x2 * (0.96775055 ^ (x0 + x0))) - -0.8766846) ^ (exp(-2.511618) ^ (x1 / x0))) - -0.039727867) ^ x0) ^ -0.039727867)"
26,8.493498e-7,"((((((x2 * (0.96775055 ^ ((exp(x0) / 0.50528413) - x2))) + x1) - -0.8766846) ^ ((0.03607037 / 0.50528413) ^ (x1 / x0))) ^ x0) ^ -0.039727867)"
28,7.1355447e-7,"(((((((x2 * (0.96775055 ^ ((exp(x0) / 0.50528413) - x2))) + x1) - -0.8766846) ^ ((0.03607037 / 0.593977) ^ (x1 / x0))) - -0.021309018) ^ x0) ^ -0.039727867)"
