Complexity,Loss,Equation
1,0.00027419868,"0.9833905"
3,0.00017800501,"(0.968422 ^ x0)"
5,9.821841e-5,"((0.9879084 ^ x0) ^ x2)"
6,9.821838e-5,"(exp(-0.012162443 * x2) ^ x0)"
7,5.8111335e-5,"((x1 ^ (0.0023954767 * x0)) ^ x2)"
8,3.0083494e-5,"((0.98505706 ^ (x0 / exp(x1))) ^ x2)"
9,1.0923048e-5,"((0.9840356 ^ x0) ^ (x2 * (0.030604504 ^ x1)))"
10,9.315467e-6,"((0.9840356 ^ x2) ^ (x0 / (exp(x2) ^ x1)))"
11,8.688191e-6,"((0.9849696 ^ x0) ^ ((x2 - -0.15798642) * (0.04938104 ^ x1)))"
12,4.4173794e-6,"(((exp(-0.026730476) ^ (0.025861748 ^ x1)) ^ x0) ^ (x2 ^ 0.6335357))"
14,2.9821279e-6,"(((exp(-0.026730476) ^ (0.063388914 ^ (x1 / x0))) ^ x0) ^ (x2 ^ 0.64544475))"
16,1.4816923e-6,"((((exp(-0.026730476) ^ (0.06860038 ^ (x1 / x0))) ^ 0.94721836) ^ (x2 ^ 0.64544475)) ^ x0)"
18,9.2174866e-7,"(((exp(-0.026730476) ^ (0.075828634 ^ (((0.075828634 * x2) * 0.69105446) + (x1 / x0)))) ^ x0) ^ x2)"
20,8.9312505e-7,"(((exp(-0.026730476) ^ (0.075828634 ^ (((0.075828634 * (x2 - x1)) * 0.69105446) + (x1 / x0)))) ^ x0) ^ x2)"
22,6.503261e-7,"(((exp(-0.026002273) ^ (0.075828634 ^ (((((x0 ^ 1.1266613) * (0.075828634 * x2)) * 0.67982507) + x1) / x0))) ^ x0) ^ x2)"
24,6.34736e-7,"(((exp(-0.026002273) ^ (0.075828634 ^ (((((x0 ^ 1.1266613) * (0.075828634 * x2)) * 0.67982507) + x1) / x0))) ^ x0) ^ (x2 + x1))"
26,6.277991e-7,"(((exp(-0.026002273) ^ (0.075828634 ^ (((((x0 ^ 1.1266613) * (0.075828634 * x2)) * 0.69105446) + x1) / x0))) ^ x0) ^ (x2 + (x1 * 0.69082433)))"
27,6.266461e-7,"(((exp(-0.026002273) ^ (0.075828634 ^ (((((x0 ^ 1.1266613) * ((exp(x0) ^ -0.026002273) * (0.075828634 * x2))) * 0.67982507) + x1) / x0))) ^ x0) ^ x2)"
28,5.8111084e-7,"(((exp(-0.026002273) ^ (0.075828634 ^ (((((x0 ^ 1.1266613) * ((0.075828634 ^ (x1 ^ x2)) * (0.075828634 * x2))) * 0.67982507) + x1) / x0))) ^ x0) ^ x2)"
30,5.5835096e-7,"(0.9654922 ^ (x2 / (((0.7697468 + ((x2 + x1) * (exp(-1.1533918 - exp(x1 ^ x0)) + ((exp(x1 / x0) / x0) * x1)))) / 0.5496502) / x0)))"
32,5.2092815e-7,"(0.9654922 ^ (x2 / (((0.7697468 + ((x2 + x1) * (exp(-1.1533918 - (exp(x1 ^ x0) + x1)) + ((exp(x1 / x0) / x0) * x1)))) / 0.5496502) / x0)))"
34,5.134943e-7,"(0.9654922 ^ (x2 / (((0.7697468 + (((x2 * 1.0179746) + x1) * (exp(-1.1533918 - (exp(x1 ^ x0) + x1)) + ((exp(x1 / x0) / x0) * x1)))) / 0.5496502) / x0)))"
36,4.99854e-7,"(0.9654922 ^ (x2 / (((0.7697468 + (((x2 * 1.0179746) + x1) * (exp(-1.1533918 - ((exp(x1 ^ x0) + x1) + x1)) + ((exp(x1 / x0) / x0) * x1)))) / 0.5496502) / x0)))"
42,4.8136087e-7,"(0.9654922 ^ (x2 / (((0.7697468 + (((x2 * 1.0179746) + (x1 / x0)) * (exp(-1.1533918 - ((exp(x1 ^ x0) + x1) + exp(log(x1) / 1.0821223))) + ((exp(x1 / x0) / x0) * x1)))) / 0.5496502) / x0)))"
