Complexity,Loss,Equation
1,0.00027419865,"0.98339295"
2,0.00027419862,"log(2.6735191)"
3,0.00017800482,"(0.9684406 ^ x0)"
5,9.8218334e-5,"((0.9879135 ^ x0) ^ x2)"
7,5.8107184e-5,"(((x1 ^ 0.0023881954) ^ x2) ^ x0)"
8,2.956085e-5,"((0.98552 ^ (x0 / exp(x1))) ^ x2)"
9,1.08710365e-5,"(((0.9840234 ^ x0) ^ x2) ^ (0.035671286 ^ x1))"
10,9.289623e-6,"((0.98392403 ^ x2) ^ (x0 / (exp(x2) ^ x1)))"
11,3.1026584e-6,"((((x2 + 0.90513736) ^ (0.038162556 ^ x1)) ^ -0.038643073) ^ x0)"
13,1.2059614e-6,"(((x2 + 0.9060116) ^ ((0.08313956 ^ (x1 / x0)) * x0)) ^ -0.038643073)"
15,1.090746e-6,"((((x2 + 0.892928) ^ (0.082686566 ^ (x1 / x0))) ^ -0.038643073) ^ (x0 ^ 0.9631641))"
16,1.0656305e-6,"((((x2 + 0.892928) ^ (0.082686566 ^ (x1 / x0))) ^ -0.038138732) ^ (x0 ^ exp(-0.04081217)))"
17,7.1052824e-7,"((((((x2 / 1.1913438) ^ 1.1427659) + 0.99085623) ^ (0.082686566 ^ (x1 / x0))) ^ -0.038643073) ^ x0)"
19,5.5652737e-7,"((((((x2 / 1.1942294) ^ 1.1427659) + 0.99085623) ^ (0.082686566 ^ (x1 / x0))) ^ -0.038643073) ^ (x0 ^ 0.9631641))"
20,5.4672563e-7,"((((((x2 / 1.1913438) ^ exp(0.12526707)) + 0.99085623) ^ (0.082686566 ^ (x1 / x0))) ^ -0.038643073) ^ (x0 ^ 0.9655293))"
