Complexity,Loss,Equation
1,0.00027419868,"0.983391"
2,0.00027419862,"log(2.6735191)"
3,0.00017800485,"(0.96845025 ^ x0)"
5,9.821837e-5,"(0.9879138 ^ (x0 * x2))"
7,5.8107173e-5,"(((x1 ^ 0.002389239) ^ x0) ^ x2)"
8,2.956165e-5,"((0.98554057 ^ (x0 / exp(x1))) ^ x2)"
9,1.0872535e-5,"(((0.9840088 ^ x0) ^ x2) ^ (0.036817998 ^ x1))"
10,9.289998e-6,"((0.98393637 ^ (x2 / (exp(x1) ^ x2))) ^ x0)"
11,3.2186836e-6,"(((0.97521776 ^ x0) ^ (x2 ^ 0.6538195)) ^ (0.036817998 ^ x1))"
13,1.316058e-6,"(((0.97521776 ^ x0) ^ (x2 ^ 0.6538195)) ^ (0.08774006 ^ (x1 / x0)))"
15,1.1273363e-6,"(((0.97521776 ^ x0) ^ ((x2 ^ 0.6661955) - 0.049929637)) ^ (0.08774006 ^ (x1 / x0)))"
17,1.0148344e-6,"(((0.97521776 ^ (x0 - -0.026137332)) ^ ((x2 ^ 0.6661955) - 0.10777557)) ^ (0.077374615 ^ (x1 / x0)))"
19,9.410415e-7,"(((0.97521776 ^ (x0 + 0.023092538)) ^ (((x2 + x1) ^ 0.6661955) - 0.10777557)) ^ (0.077374615 ^ (x1 / x0)))"
