Complexity,Loss,Equation
1,0.00027419868,"0.98339033"
3,0.00017800485,"(0.9684424 ^ x0)"
5,9.821844e-5,"((0.9879078 ^ x0) ^ x2)"
7,5.8118778e-5,"(((x1 ^ 0.0024003023) ^ x2) ^ x0)"
8,2.9626048e-5,"((0.98535806 ^ (x2 / exp(x1))) ^ x0)"
9,1.1214315e-5,"(((0.9837188 ^ (0.04257011 ^ x1)) ^ x2) ^ x0)"
10,9.478747e-6,"((0.9836176 ^ x0) ^ (x2 / (exp(x2) ^ x1)))"
11,7.281415e-6,"(((0.9878755 ^ (x2 + 0.9878755)) ^ (0.03402043 ^ x1)) ^ x0)"
12,3.1859645e-6,"((x2 - -0.9677101) ^ (((0.13962893 * x0) ^ exp(x1)) * -0.26383615))"
14,1.6004961e-6,"(((x2 - -0.9286965) ^ x0) ^ ((0.14529884 ^ exp(x1 / x0)) * -0.26383615))"
16,1.1250401e-6,"((((x2 * 0.49662963) + 0.9879078) ^ ((0.13962893 ^ exp(x1 / x0)) * -0.40443188)) ^ x0)"
18,1.0755559e-6,"((((x2 * 0.49662963) + (0.9879078 ^ -0.21644378)) ^ ((0.13962893 ^ exp(x1 / x0)) * -0.40443188)) ^ x0)"
19,1.0435455e-6,"(((((x2 * 0.49662963) - x1) + exp(x1)) ^ ((0.13962893 ^ exp(x1 / x0)) * -0.40443188)) ^ x0)"
20,1.0119217e-6,"(((((x2 * 0.49662963) - -0.18884322) + 0.81726134) ^ ((0.13962893 ^ exp(x1 / x0)) * -0.40443188)) ^ (x0 ^ 0.9837188))"
21,9.41236e-7,"(((((x2 * 0.49662963) - x1) + exp(x1)) ^ ((0.13962893 ^ exp(x1 / x0)) * -0.40443188)) ^ (x0 ^ 0.97275215))"
22,9.0025236e-7,"((((x2 * 0.49662963) + 0.9847189) ^ ((0.13962893 / exp(((x1 / 0.7121472) / x0) + (x1 / x0))) * -0.40443188)) ^ x0)"
