Complexity,Loss,Equation
1,0.00027419874,"0.98338586"
2,0.0002741987,"exp(-0.016742265)"
3,0.00017800492,"(0.96843374 ^ x0)"
5,9.821999e-5,"((0.98793685 ^ x0) ^ x2)"
6,9.821837e-5,"((exp(-0.012160022) ^ x2) ^ x0)"
7,6.5468106e-5,"((0.98681295 ^ (x2 - x1)) ^ x0)"
8,2.9654124e-5,"((0.9857188 ^ (x0 / exp(x1))) ^ x2)"
9,1.0988952e-5,"(((0.98408043 ^ x0) ^ (0.028373126 ^ x1)) ^ x2)"
10,9.313412e-6,"((0.984031 ^ x2) ^ (x0 / (exp(x2) ^ x1)))"
11,7.679814e-6,"((0.98793685 ^ x0) ^ ((x2 + 0.98793685) * (0.026049001 ^ x1)))"
12,3.3366207e-6,"(exp((-0.025160896 * (0.028373126 ^ x1)) * (x2 ^ 0.6553836)) ^ x0)"
14,1.3288177e-6,"(exp((-0.025160896 * (0.081326306 ^ (x1 / x0))) * (x2 ^ 0.6553836)) ^ x0)"
18,1.2019323e-6,"((exp((-0.025160896 * (0.081326306 ^ (x1 / x0))) * ((x2 ^ 0.6774069) + -0.025160896)) ^ 0.9866984) ^ x0)"
19,1.1115671e-6,"(exp((-0.025160896 * (0.081326306 ^ (x1 / x0))) * ((x2 ^ 0.6774069) + (-0.025160896 * exp(x0)))) ^ x0)"
20,1.0660312e-6,"((exp((-0.025160896 * (0.081326306 ^ (x1 / x0))) * ((x2 ^ 0.6774069) + (-0.06687168 * x0))) ^ 0.9866984) ^ x0)"
22,1.0378726e-6,"(exp((-0.025160896 * (0.081326306 ^ (x1 / x0))) * ((x2 ^ 0.6774069) + (-0.025160896 * (x0 + (x0 * x2))))) ^ x0)"
24,9.025852e-7,"(exp(((-0.025160896 * (0.07053439 ^ (x1 / x0))) * 0.9422807) * ((x2 ^ 0.78097045) + (-0.025160896 * (x2 * (x2 * x0))))) ^ x0)"
26,8.188188e-7,"(exp(((-0.025160896 * (0.07053439 ^ (x1 / x0))) * 0.9422807) * (((x2 ^ 0.78097045) + (-0.025160896 * (x2 * (x2 * x0)))) + x1)) ^ x0)"
28,7.4052315e-7,"(exp(((-0.025160896 * (0.07053439 ^ (x1 / x0))) * 0.9422807) * (((x2 ^ 0.78097045) + (-0.025160896 * (x2 * (x2 * (x0 + x1))))) + x1)) ^ x0)"
30,7.2107065e-7,"(exp(((-0.025160896 * (0.07053439 ^ (x1 / x0))) * 0.9422807) * ((((x2 ^ 0.78097045) + (-0.025160896 * (x2 * (x2 * (x0 ^ 0.4938063))))) / 0.99202216) + x1)) ^ x0)"
32,6.765132e-7,"(exp(((-0.025160896 * (0.07053439 ^ (x1 / x0))) * 0.9422807) * ((((x2 ^ 0.78097045) + (-0.025160896 * (x2 * (x2 * ((x0 + x1) ^ 0.4938063))))) / 0.99202216) + x1)) ^ x0)"
34,6.536712e-7,"(exp(((-0.025160896 * (0.07053439 ^ (x1 / x0))) * 0.9422807) * ((((x2 ^ 0.78097045) + (-0.025160896 * (x2 * (x2 * (((x0 + x1) + x1) ^ 0.4938063))))) / 0.99202216) + x1)) ^ x0)"
36,6.490303e-7,"(exp(((-0.025160896 * (0.07053439 ^ (x1 / x0))) * 0.9422807) * ((((x2 ^ 0.78097045) + (-0.025160896 * (x2 * ((x2 + x1) * (((x0 + x1) + x1) ^ 0.4938063))))) / 0.99202216) + x1)) ^ x0)"
43,6.479823e-7,"(exp(((-0.025160896 * (0.07053439 ^ (x1 / x0))) * 0.9422807) * (((x2 ^ 0.78097045) + (-0.025160896 * (x2 * ((x2 + x1) * ((x0 ^ (0.9733506 ^ exp((x2 - (0.07053439 ^ (x1 / x0))) * 0.78097045))) + x1))))) + x1)) ^ x0)"
45,6.43742e-7,"(exp(((-0.025160896 * (0.07053439 ^ (x1 / x0))) * 0.9422807) * (((x2 ^ 0.78097045) + (-0.025160896 * (x2 * ((x2 + x1) * ((x0 ^ (0.9733506 ^ exp((x2 - (0.07053439 ^ ((x1 / x0) / x0))) * 0.78097045))) + x1))))) + x1)) ^ x0)"
