Complexity,Loss,Equation
1,0.00027419862,"0.98339474"
3,0.00017800482,"(0.9684417 ^ x0)"
5,9.8218334e-5,"((0.98791444 ^ x2) ^ x0)"
7,5.8107842e-5,"(x1 ^ ((x2 * x0) * 0.0023911332))"
8,2.9560852e-5,"((0.9855234 ^ (x0 / exp(x1))) ^ x2)"
9,1.0870294e-5,"(((0.9840199 ^ x0) ^ x2) ^ (0.03655365 ^ x1))"
10,9.290192e-6,"((0.9839061 ^ (x0 / exp(x1 * x2))) ^ x2)"
11,3.135426e-6,"((0.9769846 ^ (x2 ^ 0.70535177)) ^ ((0.040663015 ^ x1) * x0))"
13,1.2592274e-6,"((0.9769846 ^ (x2 ^ 0.70418453)) ^ ((0.0887318 ^ (x1 / x0)) * x0))"
15,1.0503072e-6,"((0.9769846 ^ (x2 ^ 0.70418453)) ^ ((0.082869865 ^ (x1 / x0)) * (x0 ^ 0.9546559)))"
16,1.0205493e-6,"((0.9769846 ^ (x2 ^ exp(-0.36592838))) ^ ((0.08642469 ^ (x1 / x0)) * (x0 ^ 0.93691957)))"
18,1.0039863e-6,"((0.9769846 ^ (x2 ^ exp(-0.35826066))) ^ ((0.08850043 ^ (x1 / (x0 ^ 1.0864964))) * (x0 ^ 0.93691957)))"
19,9.753214e-7,"((0.90079963 + x2) ^ (0.018533215 / ((-0.49530575 - (((x1 / 0.42030352) / x0) ^ 1.4917122)) / (x0 - -0.01809226))))"
