Complexity,Loss,Equation
1,0.00027419862,"0.98339474"
3,0.00017800483,"(0.968432 ^ x0)"
5,9.8218334e-5,"((0.9879135 ^ x0) ^ x2)"
7,5.810716e-5,"(((x1 ^ 0.0023885216) ^ x0) ^ x2)"
8,2.9560875e-5,"((0.98552644 ^ x2) ^ (x0 / exp(x1)))"
9,1.0866163e-5,"(0.9840725 ^ ((0.03737648 ^ x1) * (x2 * x0)))"
10,9.290157e-6,"((0.983939 ^ x2) ^ (x0 / exp(x1 * x2)))"
11,5.8156447e-6,"((0.98116446 ^ x0) ^ ((x2 * (0.022245057 ^ x1)) ^ 0.8555689))"
12,2.7441529e-6,"((0.6387812 ^ ((0.055379275 * x0) ^ exp(x1))) ^ (x2 ^ 0.66274565))"
13,2.7306423e-6,"((0.6402833 ^ ((0.055379275 * x0) ^ exp(x1))) ^ (x2 ^ exp(-0.40950274)))"
14,2.57275e-6,"((0.6387812 ^ ((0.055379275 * x0) ^ exp(x1 * 0.915507))) ^ (x2 ^ 0.6605376))"
15,1.2623692e-6,"(((0.9840725 ^ (0.08613419 ^ (x1 / x0))) ^ x0) ^ ((1.9316158 * x2) ^ 0.65920895))"
17,1.155535e-6,"(((0.9840725 ^ (0.08613419 ^ (x1 / x0))) ^ (x0 ^ 0.97400403)) ^ ((1.9316158 * x2) ^ 0.65920895))"
18,1.1471053e-6,"(0.98552644 ^ (((x2 ^ 0.71679103) * (x0 ^ 0.9405052)) / (exp((x1 / x0) / 0.5495983) + -0.3621538)))"
19,9.742665e-7,"(((0.983939 ^ (0.08762458 ^ (x1 / x0))) ^ (x0 ^ 0.94539195)) ^ (((x2 + x2) ^ 0.6463192) - 0.08582617))"
20,9.681261e-7,"(((0.983939 ^ (0.08762458 ^ (x1 / x0))) ^ (x0 ^ exp(-0.07106346))) ^ (((x2 + x2) ^ 0.6463192) - 0.08613419))"
