Complexity,Loss,Equation
1,0.00027419865,"0.9833909"
3,0.00017800486,"(0.96843123 ^ x0)"
4,0.00017800482,"exp(x0 * -0.03207188)"
5,9.821837e-5,"((0.9879133 ^ x2) ^ x0)"
6,9.821835e-5,"((exp(x2) ^ -0.012157757) ^ x0)"
7,5.810792e-5,"(((x1 ^ 0.0023854373) ^ x0) ^ x2)"
8,2.9561013e-5,"((0.9855304 ^ (x2 / exp(x1))) ^ x0)"
9,1.0867836e-5,"((0.98404634 ^ ((0.036234938 ^ x1) * x0)) ^ x2)"
10,9.320652e-6,"((0.98404634 ^ x2) ^ (x0 / (exp(x1) ^ x2)))"
11,3.2190294e-6,"(((0.9752203 ^ (0.036234938 ^ x1)) ^ (x2 ^ 0.65214336)) ^ x0)"
13,1.3202956e-6,"(((0.9752203 ^ (0.07977707 ^ (x1 / x0))) ^ (x2 ^ 0.65214336)) ^ x0)"
15,1.216279e-6,"(((0.9752203 ^ (0.07977707 ^ (x1 / x0))) ^ (x2 ^ 0.6480451)) ^ (x0 ^ 0.9688525))"
16,1.2128742e-6,"(((0.9752203 ^ (log(1.086158) ^ (x1 / x0))) ^ (x2 ^ 0.6480451)) ^ (x0 ^ 0.9688525))"
17,1.0927384e-6,"(((0.9752203 ^ (0.07977707 ^ (x1 / x0))) ^ (x2 ^ 0.66221875)) ^ (0.9752203 * (x0 ^ 0.9611813)))"
19,1.0811137e-6,"(((0.9752203 ^ (0.07977707 ^ ((x1 * 0.9752203) / x0))) ^ (x2 ^ 0.66221875)) ^ (0.9752203 * (x0 ^ 0.9611813)))"
