Complexity,Loss,Equation
1,0.0003906019,"0.9789979"
3,0.0002533231,"(0.24806497 ^ x0)"
5,0.00013031566,"((0.58913916 ^ x0) ^ x2)"
7,3.4254987e-5,"(((0.49391785 ^ x2) + x1) ^ x0)"
8,2.1854587e-5,"(0.50667095 ^ ((x0 * x2) ^ exp(x1)))"
9,1.4759979e-5,"((((0.57195526 ^ x2) + x1) / 1.5207291) ^ x0)"
10,1.0751991e-5,"(0.3362692 ^ ((x0 * (x2 ^ 0.6421188)) ^ exp(x1)))"
11,6.530672e-6,"(0.34785792 ^ (x0 * ((x2 * (x0 ^ x1)) ^ 0.66320074)))"
13,5.032986e-6,"((x4 ^ (x0 * ((x2 * (x0 ^ x1)) ^ 0.66320074))) ^ 0.7689131)"
15,3.9981e-6,"(0.3362692 ^ (x0 * ((x2 * (x5 ^ ((x1 * x4) / x0))) ^ 0.6374432)))"
16,3.892043e-6,"(0.3362692 ^ (x0 * ((x2 * (x5 ^ ((x1 * log(1.2661774)) / x0))) ^ 0.6374432)))"
17,3.7831314e-6,"(0.3362692 ^ (x0 * ((x2 * ((x5 ^ ((x1 * x4) / x0)) ^ 0.9164619)) ^ 0.6374432)))"
18,2.8256877e-6,"exp((x0 / (0.08605513 - (1.1270447 ^ ((x1 / (x0 ^ (0.5324436 / x5))) + x2)))) * x2)"
20,1.6918277e-6,"exp((x0 / (0.08952217 - ((1.582517 ^ x4) ^ ((x1 / (x0 ^ (0.5298265 / x5))) + x2)))) * x2)"
22,1.6520262e-6,"exp((x0 / (0.08952217 - ((1.582517 ^ x4) ^ ((x1 / ((x0 ^ 1.0171626) ^ (0.5298265 / x5))) + x2)))) * x2)"
23,1.248576e-6,"exp((x0 / ((-1.0821666 - (1.1270447 ^ ((x1 / (x0 ^ (0.5324436 / x5))) + x2))) - log(x4 + x3))) * x2)"
25,1.2274312e-6,"exp((x0 / ((-1.0821666 - (1.1270447 ^ (((x1 - 0.004044949) / (x0 ^ (0.5324436 / x5))) + x2))) - log(x4 + x3))) * x2)"
27,1.1471675e-6,"exp((x0 / (((-1.0821666 - (1.1270447 ^ (((x1 - 0.004044949) / (x0 ^ (0.5324436 / x5))) + x2))) - x0) - log(x4 + x3))) * x2)"
29,1.098608e-6,"exp((x0 / (((-1.0821666 - (1.1270447 ^ (((x1 - (0.004044949 / 0.58924216)) / (x0 ^ (0.5324436 / x5))) + x2))) - x0) - log(x4 + x3))) * x2)"
31,1.0871172e-6,"exp((x0 / (((-1.0821666 - (1.1270447 ^ ((log(exp(x1) - (0.004044949 / 0.58924216)) / (x0 ^ (0.5324436 / x5))) + x2))) - x0) - log(x4 + x3))) * x2)"
32,1.0765829e-6,"exp((x0 / (((-1.0633566 - ((1.1270447 ^ ((x1 / ((x0 ^ (0.72628355 ^ x5)) * (exp(x5) - 1.0350549))) + x2)) + x0)) - log(x4 + x3)) + x1)) * x2)"
33,1.0668118e-6,"exp((x0 / ((-1.0821666 - (1.1270447 ^ (((x1 + (0.004044949 / -0.55463696)) / (x0 ^ ((0.77089095 - (x5 - 0.68107337)) - -0.02572823))) + x2))) - (log(x4 + x3) + x0))) * x2)"
34,1.0178719e-6,"exp((x0 / (((-1.0633566 - ((1.1270447 ^ ((x1 / ((x0 ^ (0.72628355 ^ x5)) * ((exp(x5) - 1.0163344) ^ 1.354991))) + x2)) + x0)) - log(x4 + x3)) + x1)) * x2)"
36,9.827106e-7,"exp((x0 / (((-1.0633566 - (((1.1270447 ^ ((x1 / ((x0 ^ (0.72628355 ^ x5)) * (exp(x5) - 1.0163344))) + x2)) + x0) - 0.0731039)) - log(x4 + (x3 + x0))) + x1)) * x2)"
38,9.21084e-7,"exp((x0 / (((-1.0633566 - (((1.1270447 ^ ((x1 / ((x0 ^ (0.72628355 ^ x5)) * ((exp(x5) - 1.0163344) ^ 1.3721985))) + x2)) + x0) - 0.0731039)) - log(x4 + (x3 + x0))) + x1)) * x2)"
40,9.162268e-7,"exp((x0 / (((-1.0633566 - (((1.1270447 ^ ((x1 / ((x0 ^ (0.72628355 ^ x5)) * ((exp(x5) - 1.0163344) ^ 1.3721985))) + x2)) + x0) - 0.0731039)) - log(x4 + (x3 + x0))) + (x1 / 1.0835205))) * x2)"
