Complexity,Loss,Equation
1,0.00027419865,"0.98339003"
2,0.00027419862,"log(2.6735191)"
3,0.00017800482,"(0.9684481 ^ x0)"
5,9.821832e-5,"((0.9879124 ^ x0) ^ x2)"
7,5.8107173e-5,"(((x1 ^ 0.0023882636) ^ x0) ^ x2)"
8,2.9560893e-5,"((0.9855267 ^ x0) ^ (x2 / exp(x1)))"
9,1.086614e-5,"(((0.9840692 ^ x2) ^ (0.037302814 ^ x1)) ^ x0)"
10,9.2937435e-6,"((0.98396784 ^ (x2 / (exp(x1) ^ x2))) ^ x0)"
11,4.459223e-6,"(((0.97980374 ^ (0.04259167 ^ x1)) ^ (x2 ^ 0.800689)) ^ x0)"
13,2.6169346e-6,"(((0.97980374 ^ (0.08943138 ^ (x1 / x0))) ^ (x2 ^ 0.800689)) ^ x0)"
15,1.349345e-6,"((((0.98339003 ^ (0.08301501 ^ (x1 / x0))) ^ (x2 ^ 0.72615176)) ^ 1.3642683) ^ x0)"
17,1.1924918e-6,"((((0.9831913 ^ (0.08301501 ^ (x1 / x0))) ^ (x2 ^ 0.72615176)) ^ 1.3173102) ^ (x0 ^ 0.93746024))"
18,1.188263e-6,"((((0.9831913 ^ (0.08301501 ^ (x1 / x0))) ^ (x2 ^ 0.72615176)) ^ 1.3173102) ^ (x0 ^ log(2.545402)))"
19,1.1716612e-6,"((((0.9831913 ^ (0.08301501 ^ (x1 / x0))) ^ ((x2 ^ 0.72615176) - -0.0049634795)) ^ 1.3173102) ^ (x0 ^ 0.93746024))"
20,1.1694812e-6,"((((0.9831913 ^ (0.08301501 ^ (x1 / x0))) ^ ((x2 ^ 0.72615176) - -0.0049634795)) ^ 1.3173102) ^ (x0 ^ log(2.545402)))"
