Complexity,Loss,Equation
1,0.00027419868,"0.983391"
3,0.00017800496,"(0.9684587 ^ x0)"
4,0.00017800488,"exp(-0.032066476 * x0)"
5,9.8218414e-5,"((0.9879171 ^ x2) ^ x0)"
7,5.8107384e-5,"(((x1 ^ 0.0023870547) ^ x0) ^ x2)"
8,2.9561654e-5,"((0.9855407 ^ (x0 / exp(x1))) ^ x2)"
9,1.0904781e-5,"(((0.98392373 ^ x0) ^ (0.036362115 ^ x1)) ^ x2)"
10,9.289625e-6,"((0.98392373 ^ x0) ^ (x2 / exp(x1 * x2)))"
11,8.237332e-6,"((0.98364747 ^ (0.085733324 ^ (x1 ^ x0))) ^ (x2 ^ x0))"
12,6.742125e-6,"((0.9856118 ^ x0) ^ ((x2 + 0.3889246) / exp(x1 * x2)))"
13,4.356594e-6,"(((0.9833805 ^ x0) ^ (0.042490106 ^ x1)) ^ ((x2 * 1.2919677) ^ 0.80158544))"
15,3.1679608e-6,"(((0.98364747 ^ x0) ^ (0.07212634 ^ (x1 / x0))) ^ ((x2 * 1.2824806) ^ 0.8314857))"
16,2.6951752e-6,"(((0.9833805 ^ x0) ^ (exp(-2.1890578) ^ (x1 / x0))) ^ ((x2 * 1.2824806) ^ 0.80158544))"
17,2.059912e-6,"(((0.98364747 ^ x0) ^ (0.07212634 ^ (x1 / x0))) ^ (((x2 * 1.2824806) ^ 0.80158544) + 0.1073205))"
19,1.1636494e-6,"(((0.9833805 ^ x2) ^ (x0 / exp(((x1 / x0) / 0.43142715) + 0.608522))) ^ exp(0.8552424 ^ x2))"
20,1.1437412e-6,"(((0.9833805 ^ x2) ^ (x0 / exp(((x1 * exp(0.8552424)) / x0) + 0.608522))) ^ exp(0.8552424 ^ x2))"
21,1.1201342e-6,"(((0.9833805 ^ x2) ^ (x0 / exp(((x1 + x1) / x0) + 0.608522))) ^ (exp(0.8552424 ^ x2) - x1))"
22,1.0239328e-6,"(((0.983391 ^ (x2 - -0.037797686)) ^ (x0 / exp(((x1 * exp(0.8552424)) / x0) + 0.608522))) ^ exp(0.8552424 ^ x2))"
23,7.6171483e-7,"(((0.9833805 ^ x2) ^ (x0 / exp(((x1 / x0) / 0.43142715) + 0.608522))) ^ (exp(0.8552424 ^ (x2 - 1.0194551)) + -0.17407921))"
24,7.3592037e-7,"(((0.9833805 ^ x2) ^ (x0 / exp(((x1 * exp(0.8552424)) / x0) + 0.608522))) ^ (exp(0.8552424 ^ (x2 - 1.0194551)) + -0.17407921))"
25,7.206766e-7,"(((0.9833805 ^ x2) ^ (x0 / exp(((x1 * exp(exp(-0.110210285))) / x0) + 0.608522))) ^ (exp(0.8552424 ^ (x2 - 0.98598516)) + -0.17407921))"
26,6.8115884e-7,"(((0.9833805 ^ x2) ^ (x0 / exp(((x1 * exp(0.8552424)) / x0) + 0.608522))) ^ (exp(0.8552424 ^ (x2 - (0.5444697 ^ x0))) + -0.09540388))"
27,6.152436e-7,"(((0.9833805 ^ x2) ^ (x0 / exp(((x1 * exp(0.86446136)) / x0) + 0.608522))) ^ (exp(0.8552424 ^ (x2 - (exp(0.56475616) - x0))) + -0.17407921))"
28,5.9650785e-7,"(((0.9833805 ^ x2) ^ (x0 / exp(((x1 * exp(exp(-0.110210285))) / x0) + 0.608522))) ^ (exp(0.8552424 ^ (x2 - (exp(0.5729113) - x0))) + -0.17407921))"
30,5.8275475e-7,"(((0.9833805 ^ x2) ^ (x0 / exp(((x1 * exp(exp(-0.110210285))) / x0) + (1.1762527 - 0.5758211)))) ^ (exp(0.8552424 ^ (x2 - (exp(0.5729113) - x0))) + -0.17407921))"
