Complexity,Loss,Equation
1,0.00027419868,"0.9833921"
2,0.00027419862,"log(2.6735191)"
3,0.00017800483,"(0.96843994 ^ x0)"
5,9.8218334e-5,"((0.98791444 ^ x2) ^ x0)"
7,5.8107275e-5,"(((x1 ^ 0.0023894852) ^ x0) ^ x2)"
8,2.9561263e-5,"((0.9855351 ^ x0) ^ (x2 / exp(x1)))"
9,1.0920975e-5,"(((0.9838934 ^ x2) ^ x0) ^ (0.035571 ^ x1))"
10,9.291379e-6,"((0.9838934 ^ x0) ^ (x2 / (exp(x2) ^ x1)))"
11,3.1243878e-6,"(((x2 + 0.8997545) ^ (-0.038819864 * (0.0369195 ^ x1))) ^ x0)"
12,3.1014786e-6,"(((x2 + 0.9028706) ^ (log(0.96211314) * (0.038620923 ^ x1))) ^ x0)"
13,1.2167038e-6,"(((x2 + 0.9028706) ^ (-0.038819864 * (0.08336907 ^ (x1 / x0)))) ^ x0)"
14,1.2051314e-6,"(((x2 + 0.9028706) ^ (log(0.96211314) * (0.086329915 ^ (x1 / x0)))) ^ x0)"
15,1.1856308e-6,"(((x2 + (0.88057506 ^ x0)) ^ (-0.038819864 * (0.086329915 ^ (x1 / x0)))) ^ x0)"
16,1.1823627e-6,"(((x2 + (exp(x0) ^ -0.12888247)) ^ (-0.038819864 * (0.08336907 ^ (x1 / x0)))) ^ x0)"
17,7.891234e-7,"((((x2 ^ 1.0643215) + (0.86430347 ^ x2)) ^ (-0.038819864 * (0.086329915 ^ (x1 / x0)))) ^ x0)"
19,5.9457966e-7,"((((x2 ^ 1.0643215) + (0.82121384 ^ (x2 ^ x0))) ^ (-0.038819864 * (0.086329915 ^ (x1 / x0)))) ^ x0)"
