Complexity,Loss,Equation
1,0.00027419862,"0.98339474"
3,0.00017800483,"(0.9684475 ^ x0)"
4,0.00017800482,"(exp(-0.032060362) ^ x0)"
5,9.8218334e-5,"((0.9879121 ^ x2) ^ x0)"
7,5.810717e-5,"(((x1 ^ 0.002388522) ^ x0) ^ x2)"
8,2.9562989e-5,"((0.985552 ^ (x2 / exp(x1))) ^ x0)"
9,1.0866954e-5,"((0.98404676 ^ ((0.03701808 ^ x1) * x2)) ^ x0)"
10,9.290704e-6,"(0.9838998 ^ ((x2 / (exp(x2) ^ x1)) * x0))"
11,3.1522982e-6,"(0.9770908 ^ (x0 * (((0.010337056 ^ x1) * x2) ^ 0.70934254)))"
13,1.2292369e-6,"(0.9764599 ^ (x0 * (((0.029549688 ^ (x1 / x0)) * x2) ^ 0.69848806)))"
15,1.0260791e-6,"(0.9770908 ^ ((x0 ^ 0.9367159) * (((0.029549688 ^ (x1 / x0)) * x2) ^ 0.69848806)))"
16,1.0259714e-6,"(0.9770908 ^ ((x0 ^ exp(-0.06686316)) * (((0.029549688 ^ (x1 / x0)) * x2) ^ 0.69848806)))"
17,9.844782e-7,"(0.9770908 ^ ((x0 ^ 0.9403867) * ((((0.029549688 ^ (x1 / x0)) - -0.005828572) * x2) ^ 0.69848806)))"
19,9.561915e-7,"(0.9770908 ^ ((x0 ^ 0.9403867) * ((((0.029549688 ^ (x1 * (x0 ^ -1.1081548))) - -0.008458084) * x2) ^ 0.69848806)))"
