Complexity,Loss,Equation
1,0.0002741987,"0.98338544"
2,0.00027419868,"exp(-0.016746629)"
3,0.00017800511,"(0.9684682 ^ x0)"
4,0.00017800498,"(log(2.6338866) ^ x0)"
5,9.8219105e-5,"((0.98792917 ^ x2) ^ x0)"
7,5.8124107e-5,"(((x1 ^ x2) ^ 0.0024027561) ^ x0)"
8,2.9582137e-5,"((0.9854285 ^ x0) ^ (x2 / exp(x1)))"
9,1.1166392e-5,"((0.9836603 ^ ((0.0291164 ^ x1) * x0)) ^ x2)"
10,9.429585e-6,"((0.9836603 ^ (x0 / exp(x2 * x1))) ^ x2)"
11,6.1975297e-6,"(((0.9862592 ^ (0.037889108 ^ x1)) ^ (x2 - -0.5593381)) ^ x0)"
13,4.3657615e-6,"(((0.9862592 ^ (0.09516366 ^ (x1 / x0))) ^ x0) ^ (x2 - -0.53879523))"
15,4.179945e-6,"(((0.9862592 ^ (0.037889108 ^ x1)) ^ ((x2 ^ 0.6267218) - (-0.5376221 * x2))) ^ x0)"
17,3.4585082e-6,"(((0.9862592 ^ ((0.037889108 * x0) ^ x1)) ^ ((x2 ^ 0.6267218) - (-0.5376221 * x2))) ^ x0)"
18,2.5669387e-6,"(exp(-0.24820997 * x0) ^ exp(((1.8705825 / (-0.37504226 - x2)) - exp(x1 / x0)) - x1))"
19,1.6152361e-6,"(exp(-0.24968721 * x0) ^ exp(((1.8705825 / (-0.3188449 - x2)) - 0.97622764) - (x1 / (x0 * 0.39944762))))"
21,1.57643e-6,"(exp(-0.24968721 * x0) ^ exp(((1.8705825 / (-0.24820997 - x2)) - (0.9862592 ^ x2)) - (x1 / (x0 / 2.5127246))))"
23,1.1552205e-6,"(exp(-0.24968721 * x0) ^ exp(((1.8705825 / (-0.31227115 - x2)) - (0.99085015 ^ (x2 / x0))) - (x1 / (x0 / 2.5127246))))"
30,1.1422215e-6,"(exp(-0.24968721 * x0) ^ exp(((1.8705825 / (((-0.24820997 * log(0.061416946)) - x2) - 0.99085015)) - (0.99085015 ^ ((x2 / x0) - x0))) - (x1 / (x0 / 2.5127246))))"
31,1.1095576e-6,"(exp(-0.24968721 * x0) ^ exp(((1.8705825 / (((-0.24820997 * log(0.061416946)) - x2) - (exp(x1) ^ 0.85028255))) - (0.99085015 ^ (x2 / x0))) - (x1 / (x0 / 2.5127246))))"
33,1.0162635e-6,"(exp(-0.24968721 * x0) ^ exp(((1.8705825 / (((-0.24820997 * log(0.061416946)) - x2) - (exp(x1) ^ 0.85028255))) - (0.99085015 ^ ((x2 / x0) - 1.1618843))) - (x1 / (x0 / 2.5127246))))"
35,1.0129957e-6,"(exp(-0.24968721 * x0) ^ exp(((1.8705825 / (((-0.24820997 * log(0.061416946)) - x2) - (exp(x1) ^ 0.85028255))) - (0.99085015 ^ ((x2 / x0) - 1.1618843))) - (x1 / (x0 / (2.5127246 + 0.18298641)))))"
36,1.0014126e-6,"(exp(-0.24968721 * x0) ^ exp(((1.8705825 / (((-0.24820997 * log(0.061416946)) - x2) - (exp(x1) ^ 0.85028255))) - (0.99085015 ^ ((x2 / x0) - (0.9854285 ^ exp(x2))))) - (x1 / (x0 / 2.5127246))))"
38,9.971843e-7,"(exp(-0.24968721 * x0) ^ exp(((1.8705825 / (((-0.24820997 * log(0.061416946)) - x2) - (exp(x1) ^ (0.85028255 - 0.029578533)))) - (0.99085015 ^ ((x2 / x0) - (0.9854285 ^ exp(x2))))) - (x1 / (x0 / 2.5127246))))"
42,9.911051e-7,"(exp(-0.24968721 * x0) ^ exp(((1.8705825 / (((exp(-0.24820997 * log(0.061416946)) - x2) - x1) - (exp((0.9879305 ^ 0.9879305) ^ x2) ^ 0.85028255))) - (0.99085015 ^ ((x2 / x0) - x0))) - (x1 / ((x0 * 1.028113) / 2.5127246))))"
44,9.641525e-7,"(exp(-0.24968721 * x0) ^ exp(((1.8705825 / (((exp(-0.24820997 * log(0.061416946)) - x2) - x1) - (exp((0.9879305 ^ 0.9879305) ^ (x2 + x2)) ^ 0.85028255))) - (0.99085015 ^ ((x2 / x0) - x0))) - (x1 / ((x0 * 1.028113) / 2.5127246))))"
