Complexity,Loss,Equation
1,0.00027419862,"0.98339474"
3,0.00017800482,"(0.96844137 ^ x0)"
5,9.8218334e-5,"((0.98791444 ^ x2) ^ x0)"
7,5.8107267e-5,"(((x1 ^ 0.0023894603) ^ x2) ^ x0)"
8,2.9561734e-5,"((0.9855031 ^ x0) ^ (x2 / exp(x1)))"
9,1.0868294e-5,"(((0.98406476 ^ x2) ^ (0.03871304 ^ x1)) ^ x0)"
10,9.292755e-6,"((0.98388344 ^ x2) ^ (x0 / exp(x2 * x1)))"
11,3.1049576e-6,"((((x2 + 0.898787) ^ -0.038639545) ^ (0.03871304 ^ x1)) ^ x0)"
12,3.102466e-6,"((((x2 + log(2.471442)) ^ -0.038639545) ^ (0.03871304 ^ x1)) ^ x0)"
13,1.2112952e-6,"((((x2 + 0.898787) ^ -0.038639545) ^ (0.08403488 ^ (x1 / x0))) ^ x0)"
14,1.2043957e-6,"((((x2 + exp(-0.098485045)) ^ -0.038639545) ^ (0.08403488 ^ (x1 / x0))) ^ x0)"
15,8.3705885e-7,"(((((x2 ^ 1.1090373) + 0.95130455) ^ -0.035971906) ^ (0.08403488 ^ (x1 / x0))) ^ x0)"
17,7.238054e-7,"(((((x2 ^ 1.0795105) + 0.9347318) ^ -0.035971906) ^ (0.08403488 ^ (x1 / x0))) ^ (x0 ^ 0.9347318))"
19,5.708154e-7,"((((((x2 ^ 1.1246822) * 0.9347318) + 0.9679402) ^ -0.035971906) ^ (0.08403488 ^ (x1 / x0))) ^ (x0 ^ 0.9347318))"
