Complexity,Loss,Equation
1,0.00027419862,"0.98339474"
3,0.00017800488,"(0.9684476 ^ x0)"
5,9.821834e-5,"(0.987912 ^ (x2 * x0))"
7,5.8107238e-5,"((x1 ^ 0.0023894305) ^ (x0 * x2))"
8,2.956115e-5,"((0.9855113 ^ x0) ^ (x2 / exp(x1)))"
9,1.0869171e-5,"(((0.9840411 ^ (0.03819183 ^ x1)) ^ x0) ^ x2)"
10,9.293436e-6,"(0.9838795 ^ ((x0 / (exp(x2) ^ x1)) * x2))"
11,3.531106e-6,"((0.97441155 ^ (x0 * (x2 ^ 0.6207833))) ^ (0.039456062 ^ x1))"
13,1.6381022e-6,"((0.97441155 ^ (x0 * (x2 ^ 0.6207833))) ^ (0.08650669 ^ (x1 / x0)))"
15,1.1185053e-6,"((0.97441155 ^ (x0 * ((x2 ^ 0.6519569) + -0.06625883))) ^ (0.08650669 ^ (x1 / x0)))"
16,1.1106579e-6,"((0.97441155 ^ (x0 * ((x2 ^ 0.6519569) + log(0.923636)))) ^ (0.08650669 ^ (x1 / x0)))"
17,1.1006452e-6,"((0.97441155 ^ (x0 * ((x2 ^ 0.6519569) + (-0.06625883 * x0)))) ^ (0.08650669 ^ (x1 / x0)))"
18,9.706434e-7,"((0.97441155 ^ ((x0 ^ 0.9646901) * ((x2 ^ 0.6519569) + log(0.923636)))) ^ (0.08650669 ^ (x1 / x0)))"
19,5.701277e-7,"(0.9876522 ^ (((0.08650669 ^ (x1 / x0)) * x0) * ((x2 + x2) ^ ((x2 + x0) ^ -0.16483173))))"
21,5.4505205e-7,"(0.9876522 ^ ((((0.081870645 ^ (x1 / x0)) * x0) ^ 0.9844323) * ((x2 + x2) ^ ((x2 + x0) ^ -0.16483173))))"
23,5.182082e-7,"(0.9876522 ^ (((0.09266122 ^ ((x1 / x0) ^ (0.7946695 ^ x1))) * x0) * ((x2 + x2) ^ ((x2 + x0) ^ -0.16483173))))"
25,4.5235507e-7,"(0.9876522 ^ (((0.09266122 ^ ((x1 / x0) ^ (0.6921364 ^ x1))) * x0) * ((x2 + (x2 + x1)) ^ ((x2 + x0) ^ -0.16483173))))"
27,4.3281582e-7,"(0.9876522 ^ (((0.09266122 ^ ((x1 / x0) ^ (0.6921364 ^ x1))) * (x0 ^ 0.9858504)) * ((x2 + (x2 + x1)) ^ ((x2 + x0) ^ -0.16483173))))"
29,4.2021782e-7,"(0.9876522 ^ (((0.09266122 ^ ((x1 / x0) ^ (0.6921364 ^ x1))) * (x0 ^ (0.9954593 ^ x2))) * ((x2 + (x2 + x1)) ^ ((x2 + x0) ^ -0.16483173))))"
