	k	z	a
697	0.13294658672845908	3.0300000000001486	0.24813895781636802
698	0.13432560168731275	3.020000000000149	0.24875621890546343
699	0.1357189207535792	3.010000000000149	0.249376558603482
700	0.13712669229946273	3.000000000000149	0.24999999999999067
701	0.13854906623618754	2.9900000000001494	0.2506265664160307
702	0.13998619402996196	2.9800000000001496	0.2512562814070257
703	0.14143822871810766	2.97000000000015	0.2518891687657336
704	0.14290532492535676	2.96000000000015	0.25252525252524294
705	0.14438763888031692	2.9500000000001503	0.2531645569620157
706	0.145885328432108	2.9400000000001505	0.2538071065989751
707	0.14739855306717187	2.9300000000001507	0.2544529262086416
708	0.14892747392625477	2.920000000000151	0.2551020408163167
709	0.15047225382156768	2.910000000000151	0.25575447570331494
710	0.15203305725412342	2.9000000000001513	0.25641025641024645
711	0.15361005043125486	2.8900000000001516	0.2570694087403499
712	0.1552034012843131	2.8800000000001518	0.2577319587628765
713	0.15681327948655052	2.870000000000152	0.25839793281652734
714	0.15843985647118977	2.860000000000152	0.25906735751294313
715	0.16008330544967814	2.8500000000001524	0.25974025974024945
716	0.1617438014301332	2.8400000000001526	0.2604166666666563
717	0.16342152123597958	2.830000000000153	0.2610966057441149
718	0.1651166435247777	2.820000000000153	0.2617801047120314
719	0.16682934880724912	2.8100000000001533	0.2624671916010393
720	0.1685598194664988	2.8000000000001535	0.2631578947368315
721	0.17030823977743725	2.7900000000001537	0.2638522427440526
722	0.17207479592640268	2.780000000000154	0.26455026455025377
723	0.1738596760309882	2.770000000000154	0.26525198938990957
724	0.17566307016007465	2.7600000000001543	0.2659574468084997
725	0.17748517035406972	2.7500000000001545	0.26666666666665567
726	0.1793261706453584	2.7400000000001548	0.26737967914437394
727	0.1811862670789659	2.730000000000155	0.26809651474529717
728	0.1830656577334329	2.720000000000155	0.26881720430106404
729	0.1849645427419094	2.7100000000001554	0.26954177897572995
730	0.18688312431346618	2.7000000000001556	0.2702702702702589
731	0.1888216067546285	2.690000000000156	0.2710027100270888
732	0.19078019649113118	2.680000000000156	0.2717391304347711
733	0.192759102089901	2.6700000000001562	0.272479564032686
734	0.1947585342812675	2.6600000000001565	0.2732240437158353
735	0.1967787059814018	2.6500000000001567	0.27397260273971424
736	0.19881983231499073	2.640000000000157	0.27472527472526287
737	0.20088213063814456	2.630000000000157	0.2754820936638999
738	0.2029658205615437	2.6200000000001573	0.2762430939226399
739	0.20507112397382352	2.6100000000001575	0.2770083102492954
740	0.20719826506520345	2.6000000000001577	0.27777777777776563
741	0.20934747035136128	2.590000000000158	0.27855153203341393
742	0.21151896869755316	2.580000000000158	0.27932960893853515
743	0.2137129913429857	2.5700000000001584	0.28011204481791474
744	0.21592977192544088	2.5600000000001586	0.28089887640448186
745	0.21816954650615453	2.550000000000159	0.28169014084505783
746	0.22043255359495487	2.540000000000159	0.282485875706202
747	0.22271903417566055	2.5300000000001592	0.2832861189801572
748	0.2250292317317437	2.5200000000001594	0.28409090909089624
749	0.22736339227225644	2.5100000000001597	0.2849002849002719
750	0.2297217643580289	2.50000000000016	0.28571428571427265
751	0.23210459912813866	2.49000000000016	0.28653295128938516
752	0.2345121503266526	2.4800000000001603	0.28735632183906723
753	0.23694467432964858	2.4700000000001605	0.2881844380403325
754	0.2394024301725171	2.4600000000001607	0.289017341040449
755	0.24188567957754417	2.450000000000161	0.2898550724637546
756	0.24439468698178252	2.440000000000161	0.290697674418591
757	0.24692971956521073	2.4300000000001614	0.2915451895043595
758	0.2494910472791856	2.4200000000001616	0.2923976608186996
759	0.25207894287518756	2.410000000000162	0.29325513196479547
760	0.2546936819338659	2.400000000000162	0.2941176470588095
761	0.25733554289438604	2.390000000000162	0.294985250737449
762	0.2600048070840783	2.3800000000001624	0.2958579881656663
763	0.26270175874839674	2.3700000000001626	0.29673590504449604
764	0.26542668508118883	2.360000000000163	0.2976190476190332
765	0.26817987625527673	2.350000000000163	0.29850746268655265
766	0.27096162545335817	2.3400000000001633	0.2994011976047758
767	0.2737722288992266	2.3300000000001635	0.30030030030028554
768	0.27661198588931657	2.3200000000001637	0.3012048192770936
769	0.2794811988245738	2.310000000000164	0.3021148036253627
770	0.28238017324265796	2.300000000000164	0.30303030303028794
771	0.28530921785047986	2.2900000000001643	0.30395136778113985
772	0.28826864455707335	2.2800000000001646	0.30487804878047253
773	0.2912587685068113	2.2700000000001648	0.3058103975535014
774	0.29427990811296395	2.260000000000165	0.3067484662576532
775	0.29733238509160753	2.250000000000165	0.30769230769229206
776	0.3004165244958815	2.2400000000001654	0.3086419753086262
777	0.30353265475060376	2.2300000000001656	0.3095975232197984
778	0.30668110768724505	2.220000000000166	0.3105590062111641
779	0.30986221857926316	2.210000000000166	0.3115264797507627
780	0.31307632617780656	2.2000000000001663	0.3124999999999838
781	0.31632377274778856	2.1900000000001665	0.31347962382443506
782	0.31960490410433245	2.1800000000001667	0.31446540880501495
783	0.3229200696495982	2.170000000000167	0.31545741324919474
784	0.3262696224099888	2.160000000000167	0.3164556962025149
785	0.32965391907374514	2.1500000000001673	0.3174603174603006
786	0.3330733200289268	2.1400000000001675	0.31847133757960083
787	0.33652818940179036	2.1300000000001678	0.3194888178913567
788	0.3400188950955656	2.120000000000168	0.3205128205128033
789	0.3435458088296307	2.110000000000168	0.32154340836011125
790	0.34710930617909735	2.1000000000001684	0.32258064516127277
791	0.3507097666148058	2.0900000000001686	0.323624595469238
792	0.35434757354373214	2.080000000000169	0.32467532467530685
793	0.3580231143498182	2.070000000000169	0.32573289902278335
794	0.36173678043522245	2.0600000000001693	0.32679738562089694
795	0.36548896726200136	2.0500000000001695	0.32786885245899816
796	0.3692800743942192	2.0400000000001697	0.3289473684210343
797	0.37311050554049824	2.03000000000017	0.33003300330031154
798	0.3769806685970099	2.02000000000017	0.3311258278145509
799	0.3808909756909088	2.0100000000001703	0.33222591362124365
800	0.38484184322422055	2.0000000000001705	0.3333333333333144
801	0.3888336919181849	1.9900000000001707	0.33444816053509796
802	0.3928669468580554	1.980000000000171	0.33557046979863847
803	0.3969420375383674	1.9700000000001712	0.3367003367003173
804	0.40105939790867345	1.9600000000001714	0.3378378378378183
805	0.40521946641975554	1.9500000000001716	0.3389830508474379
806	0.4094226860703126	1.9400000000001718	0.3401360544217488
807	0.41366950445413575	1.930000000000172	0.34129692832762504
808	0.4179603738077732	1.9200000000001722	0.3424657534246373
